track_id,track_name,artist_name,popularity,album,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,track_href,analysis_url,duration_ms,time_signature
3q2aVABxuztNi3iS6h6qdB,Así Es la Vida,['Elefante'],69,El Que Busca Encuentra,spotify:track:3q2aVABxuztNi3iS6h6qdB,0.799,0.664,7,-8.16,0,0.0899,0.134,0.0,0.146,0.631,97.987,audio_features,3q2aVABxuztNi3iS6h6qdB,https://api.spotify.com/v1/tracks/3q2aVABxuztNi3iS6h6qdB,https://api.spotify.com/v1/audio-analysis/3q2aVABxuztNi3iS6h6qdB,310147,4
2rYjkYQWpn66nf5Ihk7SHJ,Ángel,['Elefante'],69,Elefante,spotify:track:2rYjkYQWpn66nf5Ihk7SHJ,0.64,0.818,1,-4.61,0,0.0456,0.00818,1.25e-05,0.275,0.763,137.003,audio_features,2rYjkYQWpn66nf5Ihk7SHJ,https://api.spotify.com/v1/tracks/2rYjkYQWpn66nf5Ihk7SHJ,https://api.spotify.com/v1/audio-analysis/2rYjkYQWpn66nf5Ihk7SHJ,289600,4
29OzJTIOTjCgR7fLyEXY7u,Sabor a Chocolate,['Elefante'],69,Lo Que Andábamos Buscando (Special Para CEV),spotify:track:29OzJTIOTjCgR7fLyEXY7u,0.619,0.896,9,-4.233,0,0.0315,0.223,0.0,0.101,0.952,136.648,audio_features,29OzJTIOTjCgR7fLyEXY7u,https://api.spotify.com/v1/tracks/29OzJTIOTjCgR7fLyEXY7u,https://api.spotify.com/v1/audio-analysis/29OzJTIOTjCgR7fLyEXY7u,231800,4
2AW8HXB5U4QA0ZmApbRM0B,Mentirosa,['Elefante'],67,Elefante,spotify:track:2AW8HXB5U4QA0ZmApbRM0B,0.669,0.914,1,-3.834,0,0.107,0.0312,8.92e-05,0.0483,0.855,97.021,audio_features,2AW8HXB5U4QA0ZmApbRM0B,https://api.spotify.com/v1/tracks/2AW8HXB5U4QA0ZmApbRM0B,https://api.spotify.com/v1/audio-analysis/2AW8HXB5U4QA0ZmApbRM0B,244760,4
2xezpH0r1pT7kcx2TPNsZ0,De la Noche a la Mañana,['Elefante'],66,El Que Busca Encuentra,spotify:track:2xezpH0r1pT7kcx2TPNsZ0,0.82,0.653,0,-8.251,1,0.0287,0.0528,3.5e-06,0.0997,0.892,129.03,audio_features,2xezpH0r1pT7kcx2TPNsZ0,https://api.spotify.com/v1/tracks/2xezpH0r1pT7kcx2TPNsZ0,https://api.spotify.com/v1/audio-analysis/2xezpH0r1pT7kcx2TPNsZ0,260613,4
1lS060MuE8QTmDPFXhSCD3,Durmiendo con la Luna,['Elefante'],65,Elefante,spotify:track:1lS060MuE8QTmDPFXhSCD3,0.612,0.507,0,-7.872,1,0.0283,0.0117,7.05e-06,0.112,0.352,95.018,audio_features,1lS060MuE8QTmDPFXhSCD3,https://api.spotify.com/v1/tracks/1lS060MuE8QTmDPFXhSCD3,https://api.spotify.com/v1/audio-analysis/1lS060MuE8QTmDPFXhSCD3,258640,4
7LIzllwQ4rcfI3Jp9VDsMN,La Que Se Fue,['Elefante'],59,El Que Busca Encuentra,spotify:track:7LIzllwQ4rcfI3Jp9VDsMN,0.785,0.538,5,-9.566,1,0.0653,0.275,6.06e-06,0.0929,0.323,129.933,audio_features,7LIzllwQ4rcfI3Jp9VDsMN,https://api.spotify.com/v1/tracks/7LIzllwQ4rcfI3Jp9VDsMN,https://api.spotify.com/v1/audio-analysis/7LIzllwQ4rcfI3Jp9VDsMN,261613,4
35Al5qqEh6ocP9wN8tZiZM,Contigo,['Elefante'],59,Elefante,spotify:track:35Al5qqEh6ocP9wN8tZiZM,0.661,0.793,4,-5.35,1,0.0305,0.0155,2.45e-06,0.0774,0.643,129.973,audio_features,35Al5qqEh6ocP9wN8tZiZM,https://api.spotify.com/v1/tracks/35Al5qqEh6ocP9wN8tZiZM,https://api.spotify.com/v1/audio-analysis/35Al5qqEh6ocP9wN8tZiZM,212280,4
51LfO8PLG7Qi0sUwA74tCw,Si Tú Quieres,['Elefante'],58,Elefante,spotify:track:51LfO8PLG7Qi0sUwA74tCw,0.392,0.395,7,-6.379,1,0.0283,0.595,0.0,0.111,0.135,132.379,audio_features,51LfO8PLG7Qi0sUwA74tCw,https://api.spotify.com/v1/tracks/51LfO8PLG7Qi0sUwA74tCw,https://api.spotify.com/v1/audio-analysis/51LfO8PLG7Qi0sUwA74tCw,324667,4
35FN09m6f6QFTH8AETRWJ5,El Abandonao - Versión Censurada,['Elefante'],57,Lo Que Andábamos Buscando (Special Para CEV),spotify:track:35FN09m6f6QFTH8AETRWJ5,0.621,0.879,5,-5.081,0,0.0378,0.299,3.29e-06,0.158,0.965,95.991,audio_features,35FN09m6f6QFTH8AETRWJ5,https://api.spotify.com/v1/tracks/35FN09m6f6QFTH8AETRWJ5,https://api.spotify.com/v1/audio-analysis/35FN09m6f6QFTH8AETRWJ5,215093,4
