track_id,track_name,artist_name,popularity,album,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,track_href,analysis_url,duration_ms,time_signature,release_date,in_playlist
3WqQkDTab7sYjRX9Uf7mqr,Hello Rammante,"['Vijay Prakash', 'Devan Ekambaram', 'D.Burn']",55,Orange,spotify:track:3WqQkDTab7sYjRX9Uf7mqr,0.857,0.688,7,-6.709,1,0.0531,0.0991,5.3e-05,0.101,0.789,113.992,audio_features,3WqQkDTab7sYjRX9Uf7mqr,https://api.spotify.com/v1/tracks/3WqQkDTab7sYjRX9Uf7mqr,https://api.spotify.com/v1/audio-analysis/3WqQkDTab7sYjRX9Uf7mqr,281965,4,2010,0
5JAxXI5nw6JLEDLgXsKtSQ,Bust Your Windows - Cover of Jazmine Sullivan,['Glee Cast'],38,Glee LGBTQIA+ Pride,spotify:track:5JAxXI5nw6JLEDLgXsKtSQ,0.409,0.774,7,-4.716,0,0.122,0.606,1.63e-06,0.0821,0.734,110.033,audio_features,5JAxXI5nw6JLEDLgXsKtSQ,https://api.spotify.com/v1/tracks/5JAxXI5nw6JLEDLgXsKtSQ,https://api.spotify.com/v1/audio-analysis/5JAxXI5nw6JLEDLgXsKtSQ,260133,4,2022,0
3kg7A13eqXpZnnyXEVcGsj,Jupiter,['Matt Maltese'],55,Krystal,spotify:track:3kg7A13eqXpZnnyXEVcGsj,0.493,0.545,7,-7.824,1,0.0282,0.385,0.0277,0.616,0.457,179.914,audio_features,3kg7A13eqXpZnnyXEVcGsj,https://api.spotify.com/v1/tracks/3kg7A13eqXpZnnyXEVcGsj,https://api.spotify.com/v1/audio-analysis/3kg7A13eqXpZnnyXEVcGsj,168853,4,2020,0
5r0JHIjcY7dLWHkljNeQbj,Anestesiado - Ao Vivo,['Murilo Huff'],62,"Fortaleza, Vol.2 (Ao Vivo)",spotify:track:5r0JHIjcY7dLWHkljNeQbj,0.53,0.855,2,-3.972,0,0.0807,0.418,0.0,0.48,0.38,159.966,audio_features,5r0JHIjcY7dLWHkljNeQbj,https://api.spotify.com/v1/tracks/5r0JHIjcY7dLWHkljNeQbj,https://api.spotify.com/v1/audio-analysis/5r0JHIjcY7dLWHkljNeQbj,172549,4,2024,0
3pzJXZ1PW3l3B69PoTx5lC,Everything Is Everything,['Phoenix'],52,Alphabetical,spotify:track:3pzJXZ1PW3l3B69PoTx5lC,0.699,0.814,6,-7.628,1,0.0339,0.0298,0.0172,0.104,0.964,109.071,audio_features,3pzJXZ1PW3l3B69PoTx5lC,https://api.spotify.com/v1/tracks/3pzJXZ1PW3l3B69PoTx5lC,https://api.spotify.com/v1/audio-analysis/3pzJXZ1PW3l3B69PoTx5lC,178613,4,2004,0
5CLruz22PAlhr07V7ULV5u,FTS - Original Mix,['Showtek'],40,FTS,spotify:track:5CLruz22PAlhr07V7ULV5u,0.734,0.884,8,-4.962,1,0.179,0.00263,0.0414,0.0434,0.215,145.996,audio_features,5CLruz22PAlhr07V7ULV5u,https://api.spotify.com/v1/tracks/5CLruz22PAlhr07V7ULV5u,https://api.spotify.com/v1/audio-analysis/5CLruz22PAlhr07V7ULV5u,329265,4,2007,0
6PLihys6LLwbCI9GRByWZ0,Más Fuerte,['Greeicy'],61,Baila,spotify:track:6PLihys6LLwbCI9GRByWZ0,0.827,0.814,11,-4.335,0,0.0631,0.109,0.000135,0.241,0.506,91.996,audio_features,6PLihys6LLwbCI9GRByWZ0,https://api.spotify.com/v1/tracks/6PLihys6LLwbCI9GRByWZ0,https://api.spotify.com/v1/audio-analysis/6PLihys6LLwbCI9GRByWZ0,184760,4,2019,0
57JVGBtBLCfHw2muk5416J,Another One Bites The Dust - Remastered 2011,['Queen'],71,The Game (Deluxe Remastered Version),,0.932,0.528,5,-6.472,0,0.161,0.115,0.329,0.163,0.757,109.975,audio_features,,,,214653,4,1980,1
4hWUOIDHda9XOb1zDchftP,Too Much Time On My Hands,['Styx'],56,Paradise Theatre,,0.799,0.404,11,-13.597,0,0.0461,0.11,0.0,0.387,0.893,131.012,audio_features,,,,271266,4,1981,1
6wMI3mVQJYtZ0tJPtPkKXq,Eye of the Tiger,['Survivor'],39,80 Totally 80s Hits,,0.815,0.438,0,-14.522,0,0.0346,0.216,0.000466,0.0787,0.552,108.966,audio_features,,,,243773,4,2014,1
