track_id,track_name,artist_name,popularity,album,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,track_href,analysis_url,duration_ms,time_signature,release_date,in_playlist
0q7e0GM6mYVcy8VcAAK6c8,NEVER PICKED (feat. Lidnesty),"['Kresnt', 'NO1-NOAH', 'Lidnesty']",23,EVERYBODY KNOWS RELOADED,spotify:track:0q7e0GM6mYVcy8VcAAK6c8,0.712,0.428,2,-7.047,1,0.134,0.569,0.0,0.198,0.374,75.505,audio_features,0q7e0GM6mYVcy8VcAAK6c8,https://api.spotify.com/v1/tracks/0q7e0GM6mYVcy8VcAAK6c8,https://api.spotify.com/v1/audio-analysis/0q7e0GM6mYVcy8VcAAK6c8,155786,4,2020,0
1dP519dbEob8H6wiouRdaY,Family Affair (Dance For Me),['David Guetta'],64,Family Affair (Dance For Me),,0.869,0.726,11,-5.654,0,0.0459,0.0784,0.0,0.107,0.343,124.023,audio_features,,,,158391,4,2022,1
2thq63WxOVk43YYAyEwoLZ,Running Back to You - Extended,"['Astrality', 'Miggy Dela Rosa']",18,Running Back to You,spotify:track:2thq63WxOVk43YYAyEwoLZ,0.781,0.579,11,-8.352,1,0.134,0.0256,0.00575,0.105,0.434,124.008,audio_features,2thq63WxOVk43YYAyEwoLZ,https://api.spotify.com/v1/tracks/2thq63WxOVk43YYAyEwoLZ,https://api.spotify.com/v1/audio-analysis/2thq63WxOVk43YYAyEwoLZ,207127,4,2024,0
3O30ywyRk6EKT68sBvVqOP,Hollywood Forever Cemetery Sings,['Father John Misty'],58,Fear Fun,spotify:track:3O30ywyRk6EKT68sBvVqOP,0.58,0.808,9,-4.133,1,0.0284,0.0642,0.158,0.0387,0.599,93.985,audio_features,3O30ywyRk6EKT68sBvVqOP,https://api.spotify.com/v1/tracks/3O30ywyRk6EKT68sBvVqOP,https://api.spotify.com/v1/audio-analysis/3O30ywyRk6EKT68sBvVqOP,190613,4,2012,0
41TkFhNYljV7omolLJ6Squ,Creep - BYOR Remix,"['Naeleck', 'Haley Reinhart', 'BYOR']",65,Creep (BYOR Remix),,0.696,0.775,6,-6.539,1,0.0388,0.00393,0.104,0.378,0.435,126.979,audio_features,,,,156850,4,2022,1
0Hf4aIJpsN4Os2f0y0VqWl,Feel This Moment (feat. Christina Aguilera),"['Pitbull', 'Christina Aguilera']",77,Global Warming: Meltdown (Deluxe Version),spotify:track:0Hf4aIJpsN4Os2f0y0VqWl,0.673,0.758,7,-3.632,1,0.158,0.039,0.0,0.341,0.542,135.956,audio_features,0Hf4aIJpsN4Os2f0y0VqWl,https://api.spotify.com/v1/tracks/0Hf4aIJpsN4Os2f0y0VqWl,https://api.spotify.com/v1/audio-analysis/0Hf4aIJpsN4Os2f0y0VqWl,229507,4,2012,0
5fdhThPDe6jQQDqCyWrdAn,Jolene,['Dolly Parton'],76,Jolene (Expanded Edition),spotify:track:5fdhThPDe6jQQDqCyWrdAn,0.674,0.537,1,-10.971,0,0.0363,0.566,0.0,0.131,0.809,110.578,audio_features,5fdhThPDe6jQQDqCyWrdAn,https://api.spotify.com/v1/tracks/5fdhThPDe6jQQDqCyWrdAn,https://api.spotify.com/v1/audio-analysis/5fdhThPDe6jQQDqCyWrdAn,161533,4,1974,0
0k0GtcnyQLMiXrdEDbLXmJ,Please Don't Change (feat. DJ Snake),"['Jung Kook', 'DJ Snake']",73,GOLDEN,spotify:track:0k0GtcnyQLMiXrdEDbLXmJ,0.797,0.743,11,-6.005,1,0.174,0.164,1.2e-06,0.164,0.768,114.878,audio_features,0k0GtcnyQLMiXrdEDbLXmJ,https://api.spotify.com/v1/tracks/0k0GtcnyQLMiXrdEDbLXmJ,https://api.spotify.com/v1/audio-analysis/0k0GtcnyQLMiXrdEDbLXmJ,146685,4,2023,0
4MxRKmmyxI79W8cRy7MzsW,No Caller Id,"['Corena', 'NATE SEBSIBE', 'Gabriel Wittner']",50,No Caller Id,,0.755,0.888,8,-6.037,0,0.0579,0.0434,0.000967,0.254,0.309,120.056,audio_features,,,,164000,4,2024,1
6HRxngZoLiaEnf7Sh4UC6s,Fear of the Dark,"['ConKi', 'MaMan', 'Anna-Sophia Henry']",45,Fear of the Dark,,0.701,0.807,9,-8.537,0,0.0394,0.214,0.295,0.2,0.313,123.981,audio_features,,,,223548,4,2022,1
17zF2ISrDrQdaULA8cxReK,Tonight (Best You Ever Had) (feat. Ludacris),"['John Legend', 'Ludacris']",59,Think Like A Man - Music From & Inspired By The Film,spotify:track:17zF2ISrDrQdaULA8cxReK,0.693,0.813,7,-4.361,0,0.0661,0.0496,0.0,0.289,0.515,90.006,audio_features,17zF2ISrDrQdaULA8cxReK,https://api.spotify.com/v1/tracks/17zF2ISrDrQdaULA8cxReK,https://api.spotify.com/v1/audio-analysis/17zF2ISrDrQdaULA8cxReK,239453,4,2012,0
5pXui9rkf5W90DgZobuDiK,The Walls,['Chase Atlantic'],71,Chase Atlantic,spotify:track:5pXui9rkf5W90DgZobuDiK,0.357,0.704,0,-6.925,0,0.0828,0.326,1.54e-06,0.124,0.225,144.172,audio_features,5pXui9rkf5W90DgZobuDiK,https://api.spotify.com/v1/tracks/5pXui9rkf5W90DgZobuDiK,https://api.spotify.com/v1/audio-analysis/5pXui9rkf5W90DgZobuDiK,229840,4,2017,0
42gZM6AQ9BDMaTyTmMDVlN,Theme From Schindler's List,"['John Williams', 'Itzhak Perlman', 'Boston Symphony Orchestra']",59,Schindler's List,spotify:track:42gZM6AQ9BDMaTyTmMDVlN,0.142,0.113,2,-25.362,0,0.0415,0.859,0.838,0.107,0.0697,98.575,audio_features,42gZM6AQ9BDMaTyTmMDVlN,https://api.spotify.com/v1/tracks/42gZM6AQ9BDMaTyTmMDVlN,https://api.spotify.com/v1/audio-analysis/42gZM6AQ9BDMaTyTmMDVlN,255693,1,1993,0
7kIDShjwKNfhXv1dNfT9ec,Belico El Asunto (En Vivo),"['Codiciado', 'Grupo Arriesgado']",62,Belico El Asunto (En Vivo),spotify:track:7kIDShjwKNfhXv1dNfT9ec,0.761,0.477,5,-4.32,1,0.0514,0.805,0.0,0.163,0.967,112.276,audio_features,7kIDShjwKNfhXv1dNfT9ec,https://api.spotify.com/v1/tracks/7kIDShjwKNfhXv1dNfT9ec,https://api.spotify.com/v1/audio-analysis/7kIDShjwKNfhXv1dNfT9ec,208680,3,2022,0
