track_id,track_name,artist_name,popularity,album,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,track_href,analysis_url,duration_ms,time_signature,release_date,in_playlist
11DjZQEZ69EXLo77HVj6yW,Green River,['Creedence Clearwater Revival'],74,Green River (Expanded Edition),spotify:track:11DjZQEZ69EXLo77HVj6yW,0.702,0.772,9,-9.677,1,0.0277,0.0312,0.00837,0.0809,0.973,141.694,audio_features,11DjZQEZ69EXLo77HVj6yW,https://api.spotify.com/v1/tracks/11DjZQEZ69EXLo77HVj6yW,https://api.spotify.com/v1/audio-analysis/11DjZQEZ69EXLo77HVj6yW,154120,4,1969,0
6ZCfGA0bPM50DPmcSlJKGY,HABLAME CLARO,"['Yandel', 'Feid']",75,HABLAME CLARO,,0.81,0.487,5,-3.737,0,0.174,0.0914,0.0,0.143,0.647,199.962,audio_features,,,,154969,4,2024,1
3O30ywyRk6EKT68sBvVqOP,Hollywood Forever Cemetery Sings,['Father John Misty'],58,Fear Fun,spotify:track:3O30ywyRk6EKT68sBvVqOP,0.58,0.808,9,-4.133,1,0.0284,0.0642,0.158,0.0387,0.599,93.985,audio_features,3O30ywyRk6EKT68sBvVqOP,https://api.spotify.com/v1/tracks/3O30ywyRk6EKT68sBvVqOP,https://api.spotify.com/v1/audio-analysis/3O30ywyRk6EKT68sBvVqOP,190613,4,2012,0
7hSToHECYZ08xzyVQ6gGJy,REGGAETON MALANDRO,"['Yandel', 'Tego Calderón']",64,ELYTE,,0.744,0.858,11,-3.441,1,0.208,0.0775,0.00166,0.13,0.72,183.927,audio_features,,,,175523,4,2024,1
21YxK0klhpfLW8budkJaMF,Lust For Life,['Iggy Pop'],59,Lust For Life,spotify:track:21YxK0klhpfLW8budkJaMF,0.387,0.97,9,-5.61,1,0.0432,0.0306,1.22e-06,0.0981,0.689,104.028,audio_features,21YxK0klhpfLW8budkJaMF,https://api.spotify.com/v1/tracks/21YxK0klhpfLW8budkJaMF,https://api.spotify.com/v1/audio-analysis/21YxK0klhpfLW8budkJaMF,313926,4,1977,0
5xiAfKzE3mbxYbOkUZPR11,Ateo,"['C. Tangana', 'NATHY PELUSO']",60,Ateo,,0.826,0.74,1,-4.45,0,0.0368,0.142,2.59e-05,0.175,0.733,130.025,audio_features,,,,239925,4,2021,1
4eeM9BGztkTCtWDwEkCEUT,Love is...,['Toosii'],55,Boys Don’t Cry: Men Do,spotify:track:4eeM9BGztkTCtWDwEkCEUT,0.491,0.417,2,-10.758,1,0.513,0.211,0.0,0.148,0.108,83.404,audio_features,4eeM9BGztkTCtWDwEkCEUT,https://api.spotify.com/v1/tracks/4eeM9BGztkTCtWDwEkCEUT,https://api.spotify.com/v1/audio-analysis/4eeM9BGztkTCtWDwEkCEUT,230017,4,2022,0
0dLdTvslcZVsncSMyVvP7n,OTRA NOCHE (feat. Darell),"['Myke Towers', 'Darell']",73,LA PANTERA NEGRA,,0.793,0.753,8,-4.385,0,0.168,0.107,0.0,0.214,0.598,92.94,audio_features,,,,224120,4,2024,1
5PvwPy5eRO8BPwpRzCHK3D,Sunn Raha Hai (Male Version),['Ankit Tiwari'],70,Aashiqui 2,spotify:track:5PvwPy5eRO8BPwpRzCHK3D,0.393,0.641,0,-6.493,0,0.0312,0.276,0.0,0.0958,0.336,81.932,audio_features,5PvwPy5eRO8BPwpRzCHK3D,https://api.spotify.com/v1/tracks/5PvwPy5eRO8BPwpRzCHK3D,https://api.spotify.com/v1/audio-analysis/5PvwPy5eRO8BPwpRzCHK3D,390223,4,2013,0
0Uyh92tLyb9JawG8lmWCzJ,Differences,['Ginuwine'],65,The Life,spotify:track:0Uyh92tLyb9JawG8lmWCzJ,0.562,0.594,3,-4.578,0,0.0558,0.318,0.0,0.311,0.423,62.876,audio_features,0Uyh92tLyb9JawG8lmWCzJ,https://api.spotify.com/v1/tracks/0Uyh92tLyb9JawG8lmWCzJ,https://api.spotify.com/v1/audio-analysis/0Uyh92tLyb9JawG8lmWCzJ,265533,4,2001,0
6wtZPYBIXUvCpXwVjMCJBf,ULTRA SOLO REMIX,"['Polimá Westcoast', 'Feid', 'Pailita', 'Paloma Mami', 'De La Ghetto']",69,ULTRA SOLO REMIX,spotify:track:6wtZPYBIXUvCpXwVjMCJBf,0.909,0.824,1,-4.627,1,0.0797,0.0777,0.00387,0.0638,0.585,109.97,audio_features,6wtZPYBIXUvCpXwVjMCJBf,https://api.spotify.com/v1/tracks/6wtZPYBIXUvCpXwVjMCJBf,https://api.spotify.com/v1/audio-analysis/6wtZPYBIXUvCpXwVjMCJBf,322347,4,2022,0
3GtnId3Cm1Xa6joCj08nzW,Jeans,['Justin Quiles'],57,Jeans,,0.807,0.656,3,-4.395,0,0.105,0.0165,0.0,0.0693,0.89,83.943,audio_features,,,,185840,4,2020,1
0poQY3RMThmIiutOGv3yH3,AUTOMÁTICO,['Maria Becerra'],66,LA NENA DE ARGENTINA,,0.68,0.808,10,-3.854,0,0.224,0.0911,2.23e-06,0.205,0.868,176.131,audio_features,,,,175317,4,2022,1
1Qa0Y05al633fG8f9Peytc,Maybe I’m Amazed - Remastered 2011,['Paul McCartney'],63,McCartney (Archive Collection),spotify:track:1Qa0Y05al633fG8f9Peytc,0.471,0.494,7,-10.407,1,0.0312,0.387,0.0944,0.617,0.373,79.255,audio_features,1Qa0Y05al633fG8f9Peytc,https://api.spotify.com/v1/tracks/1Qa0Y05al633fG8f9Peytc,https://api.spotify.com/v1/audio-analysis/1Qa0Y05al633fG8f9Peytc,229827,4,1970,0
1qIwin7JMVuX70qN6wD8ww,It's Up (feat. Young Thug & 21 Savage),"['Drake', 'Young Thug', '21 Savage']",77,100 GIGS,spotify:track:1qIwin7JMVuX70qN6wD8ww,0.783,0.723,1,-4.881,1,0.135,0.0264,0.0,0.159,0.294,139.942,audio_features,1qIwin7JMVuX70qN6wD8ww,https://api.spotify.com/v1/tracks/1qIwin7JMVuX70qN6wD8ww,https://api.spotify.com/v1/audio-analysis/1qIwin7JMVuX70qN6wD8ww,278001,4,2024,0
5XmAauYsJ9KctEO70myiRJ,Luna,['Sofía Reyes'],39,Luna,,0.793,0.628,0,-4.728,1,0.049,0.258,0.0446,0.173,0.561,100.012,audio_features,,,,148700,4,2022,1
4QtiVmuA88tPQiCOHZuQ5b,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)","['Sofía Reyes', 'Jason Derulo', 'De La Ghetto']",63,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",,0.792,0.895,1,-3.112,0,0.0589,0.165,0.0,0.0501,0.794,94.968,audio_features,,,,201526,4,2018,1
5b00r2xveYfVIOExZJJ395,Lloviendo Estrellas,['Cristian Castro'],64,Grandes Hits,spotify:track:5b00r2xveYfVIOExZJJ395,0.593,0.837,4,-3.936,1,0.0459,0.118,0.0,0.481,0.571,134.027,audio_features,5b00r2xveYfVIOExZJJ395,https://api.spotify.com/v1/tracks/5b00r2xveYfVIOExZJJ395,https://api.spotify.com/v1/audio-analysis/5b00r2xveYfVIOExZJJ395,256133,4,2002,0
2IzV2SPZQLadtA46ni3ICq,Berlin,"['Zion & Lennox', 'Maria Becerra']",57,Berlin,,0.796,0.766,1,-4.237,1,0.0422,0.18,1.53e-06,0.164,0.846,121.008,audio_features,,,,246061,4,2022,1
5AcyixjIMjWfLUphthR46B,SIN TI,"['GIMS', 'Maria Becerra']",49,SIN TI,,0.759,0.523,9,-8.14,0,0.0618,0.19,1.35e-06,0.0973,0.563,130.028,audio_features,,,,182769,4,2024,1
0fKK51bU6lcCCwdNnv64t3,DEPORTIVO,"['Blessd', 'Anuel AA']",75,DEPORTIVO,,0.816,0.762,0,-2.864,1,0.0565,0.534,0.000404,0.0845,0.782,90.025,audio_features,,,,218701,4,2024,1
0qeIFEGRQqHoaJtLCl0U73,DEGENERE 👑 (feat. benny blanco),"['Myke Towers', 'benny blanco']",84,LA PANTERA NEGRA (DELUXE),,0.744,0.709,6,-5.778,0,0.284,0.0501,0.0,0.0847,0.712,194.055,audio_features,,,,130880,4,2024,1
2WM2zohc2bo6HrxUSRZP1m,Wazap,"['Yng Lvcas', 'Justin Quiles']",45,Wazap,,0.817,0.555,7,-4.338,1,0.195,0.0956,0.0138,0.145,0.418,170.108,audio_features,,,,199828,4,2023,1
7JsIEz27QU9kk7z1EEp9kt,R.I.P. (feat. Rita Ora & Anitta),"['Sofía Reyes', 'Rita Ora', 'Anitta']",51,Mal De Amores,,0.764,0.751,8,-3.713,0,0.0711,0.18,0.0,0.0696,0.698,100.074,audio_features,,,,187200,4,2022,1
6XbtvPmIpyCbjuT0e8cQtp,Columbia,['Quevedo'],81,Columbia,,0.668,0.712,5,-5.927,1,0.0381,0.369,2.13e-05,0.108,0.264,100.02,audio_features,,,,186000,4,2023,1
3Ga6eKrUFf12ouh9Yw3v2D,Downtown,"['Anitta', 'J Balvin']",79,Downtown,,0.775,0.679,4,-4.985,0,0.135,0.18,7.26e-05,0.068,0.619,166.008,audio_features,,,,193456,4,2017,1
1IhMuuTCpO0K7BM2MmIZ0w,shining on my ex,"['bbno$', 'Yung Gravy']",53,i don't care at all,spotify:track:1IhMuuTCpO0K7BM2MmIZ0w,0.645,0.487,4,-8.584,0,0.352,0.121,0.0,0.0931,0.618,88.893,audio_features,1IhMuuTCpO0K7BM2MmIZ0w,https://api.spotify.com/v1/tracks/1IhMuuTCpO0K7BM2MmIZ0w,https://api.spotify.com/v1/audio-analysis/1IhMuuTCpO0K7BM2MmIZ0w,140319,4,2019,0
1n39WXv58zOCFVLnGlVJNg,¿Qué Tiene?,['Ximena Sariñana'],52,¿Dónde Bailarán Las Niñas?,,0.708,0.534,10,-7.623,0,0.159,0.629,0.00462,0.094,0.704,87.907,audio_features,,,,177272,4,2019,1
4nzBST9JdZIy9qfilr93Po,aftermath,['vaultboy'],54,aftermath,spotify:track:4nzBST9JdZIy9qfilr93Po,0.617,0.38,9,-9.275,1,0.0361,0.018,0.0,0.112,0.192,116.961,audio_features,4nzBST9JdZIy9qfilr93Po,https://api.spotify.com/v1/tracks/4nzBST9JdZIy9qfilr93Po,https://api.spotify.com/v1/audio-analysis/4nzBST9JdZIy9qfilr93Po,166610,4,2021,0
1mIDEJVgW884rC26MpvF3G,De pies a cabeza,"['Maná', 'Nicky Jam']",48,Viva Latino Le Bebe: Aestas 2023,,0.695,0.814,4,-5.35,1,0.0461,0.0578,8.71e-05,0.296,0.876,169.982,audio_features,,,,250466,4,2023,1
1kqH58eGh2ZTOHwqBIB2tM,Una Foto Remix (feat. Emilia),"['Mesita', 'Nicki Nicole', 'Tiago PZK', 'Emilia']",74,Una Foto Remix (feat. Emilia),,0.76,0.703,6,-3.667,1,0.0631,0.313,0.0,0.0784,0.739,96.033,audio_features,,,,243898,4,2024,1
74tsW4h0WDYRpfD19gc10W,Faded - ODESZA Remix,"['ZHU', 'ODESZA']",47,Faded (The Remixes),spotify:track:74tsW4h0WDYRpfD19gc10W,0.746,0.67,0,-5.072,1,0.0594,0.0408,0.194,0.133,0.629,125.016,audio_features,74tsW4h0WDYRpfD19gc10W,https://api.spotify.com/v1/tracks/74tsW4h0WDYRpfD19gc10W,https://api.spotify.com/v1/audio-analysis/74tsW4h0WDYRpfD19gc10W,238640,4,2014,0
0rt0dZ11FVsvprbarag5tk,"Endless Love - From ""The Endless Love"" Soundtrack","['Lionel Richie', 'Diana Ross']",55,Back To Front,spotify:track:0rt0dZ11FVsvprbarag5tk,0.461,0.275,10,-12.331,1,0.0259,0.745,0.000219,0.126,0.124,93.063,audio_features,0rt0dZ11FVsvprbarag5tk,https://api.spotify.com/v1/tracks/0rt0dZ11FVsvprbarag5tk,https://api.spotify.com/v1/audio-analysis/0rt0dZ11FVsvprbarag5tk,268293,4,1992,0
0Ik9LPqXs0DYConyjqvEFR,twin flames,"['Denise Julia', 'thủy']",58,twin flames,spotify:track:0Ik9LPqXs0DYConyjqvEFR,0.619,0.633,7,-6.502,1,0.0403,0.0971,0.0,0.114,0.238,95.004,audio_features,0Ik9LPqXs0DYConyjqvEFR,https://api.spotify.com/v1/tracks/0Ik9LPqXs0DYConyjqvEFR,https://api.spotify.com/v1/audio-analysis/0Ik9LPqXs0DYConyjqvEFR,173000,4,2024,0
3IAfUEeaXRX9s9UdKOJrFI,Envolver,['Anitta'],67,Envolver,,0.812,0.736,4,-5.421,0,0.0833,0.152,0.00254,0.0914,0.396,91.993,audio_features,,,,193805,4,2021,1
2GNxSn3YBrru8grMWsX9EX,24 / 7 / 365,['Surfaces'],53,Surf,spotify:track:2GNxSn3YBrru8grMWsX9EX,0.752,0.65,4,-6.194,1,0.0334,0.264,1.42e-06,0.313,0.904,141.161,audio_features,2GNxSn3YBrru8grMWsX9EX,https://api.spotify.com/v1/tracks/2GNxSn3YBrru8grMWsX9EX,https://api.spotify.com/v1/audio-analysis/2GNxSn3YBrru8grMWsX9EX,177000,4,2017,0
1nlE7HodTsB0IHA3HkR6gd,LA PRIMERA VEZ (feat. NTG),"['Myke Towers', 'NTG']",64,LA PANTERA NEGRA,,0.672,0.701,1,-5.523,0,0.305,0.104,0.0,0.113,0.399,91.312,audio_features,,,,171826,4,2024,1
3f8t2LZGYtdNQh8SNEiZcG,Amplifier,['Imran Khan'],67,Unforgettable,spotify:track:3f8t2LZGYtdNQh8SNEiZcG,0.725,0.712,2,-4.494,1,0.0877,0.0209,0.0,0.153,0.603,164.022,audio_features,3f8t2LZGYtdNQh8SNEiZcG,https://api.spotify.com/v1/tracks/3f8t2LZGYtdNQh8SNEiZcG,https://api.spotify.com/v1/audio-analysis/3f8t2LZGYtdNQh8SNEiZcG,232907,4,2009,0
7chTH3GBjjAyagf0SPCZDL,SI SABE FERXXO,"['Blessd', 'Feid']",74,SI SABE,,0.726,0.831,8,-2.035,0,0.12,0.0139,3.71e-06,0.0891,0.489,95.997,audio_features,,,,152500,4,2024,1
4gXHG9domIKO6FIViDISA4,Cupid (Twin Ver.) - Live Studio Version OT4,['FIFTY FIFTY'],76,The Beginning,spotify:track:4gXHG9domIKO6FIViDISA4,0.775,0.646,11,-5.72,0,0.0314,0.321,0.000157,0.255,0.724,120.001,audio_features,4gXHG9domIKO6FIViDISA4,https://api.spotify.com/v1/tracks/4gXHG9domIKO6FIViDISA4,https://api.spotify.com/v1/audio-analysis/4gXHG9domIKO6FIViDISA4,174116,4,2023,0
0CJuLeZpCdqrqoCMXWZw8k,"Tchaikovsky: The Nutcracker, Op. 71, Act 2: No. 13, Waltz of the Flowers","['Pyotr Ilyich Tchaikovsky', 'Sir Simon Rattle', 'Berliner Philharmoniker']",57,Tchaikovsky: The Nutcracker,spotify:track:0CJuLeZpCdqrqoCMXWZw8k,0.149,0.128,2,-20.459,1,0.0462,0.944,0.928,0.0703,0.113,47.362,audio_features,0CJuLeZpCdqrqoCMXWZw8k,https://api.spotify.com/v1/tracks/0CJuLeZpCdqrqoCMXWZw8k,https://api.spotify.com/v1/audio-analysis/0CJuLeZpCdqrqoCMXWZw8k,415813,3,2010,0
493Rk3iS7rs8uPfpnfm95u,El Incomprendido,"['Farruko', 'Victor Cardenas', 'Dj Adoni']",57,El Incomprendido,,0.754,0.841,11,-3.19,1,0.135,0.113,0.0,0.466,0.541,128.019,audio_features,,,,267546,4,2021,1
37neENY88EhsuW7ZqJsy6C,Everything,['Victony'],65,Stubborn,spotify:track:37neENY88EhsuW7ZqJsy6C,0.742,0.662,2,-8.022,1,0.052,0.443,0.00109,0.105,0.878,98.009,audio_features,37neENY88EhsuW7ZqJsy6C,https://api.spotify.com/v1/tracks/37neENY88EhsuW7ZqJsy6C,https://api.spotify.com/v1/audio-analysis/37neENY88EhsuW7ZqJsy6C,166958,4,2024,0
2aucJuYeU78veki8dBqzzW,Miami,['Mau y Ricky'],41,Miami,,0.807,0.823,4,-3.486,1,0.0888,0.0165,0.0,0.101,0.845,92.987,audio_features,,,,130653,4,2023,1
5nCtCCB5i1OfbADvynNw0i,Shape of You (feat. Zion & Lennox) - Latin Remix,"['Ed Sheeran', 'Lennox', 'Zion']",49,Shape of You (feat. Zion & Lennox) [Latin Remix],,0.787,0.872,1,-1.397,0,0.0871,0.168,1.51e-06,0.0408,0.46,95.995,audio_features,,,,237664,4,2017,1
6G699QfN1BWYWXfiblH51F,"Kusu Kusu (From ""Satyameva Jayate 2"")","['Tanishk Bagchi', 'Zahrah S Khan', 'Dev Negi']",58,"Kusu Kusu (From ""Satyameva Jayate 2"")",spotify:track:6G699QfN1BWYWXfiblH51F,0.742,0.911,8,-2.812,1,0.0572,0.0137,0.00081,0.0593,0.78,101.0,audio_features,6G699QfN1BWYWXfiblH51F,https://api.spotify.com/v1/tracks/6G699QfN1BWYWXfiblH51F,https://api.spotify.com/v1/audio-analysis/6G699QfN1BWYWXfiblH51F,195616,4,2021,0
6k2900NjJeVqZM55G3Danu,Bum Bum Tam Tam,"['MC Fioti', 'Future', 'J Balvin', 'Stefflon Don', 'Juan Magán']",65,Bum Bum Tam Tam,,0.896,0.675,1,-3.908,1,0.124,0.346,8.11e-06,0.262,0.659,131.999,audio_features,,,,213988,4,2017,1
169YHaDUwXyUrKSXcbBenk,Adictiva,['Pulse'],30,Adictiva,,0.813,0.838,4,-3.351,0,0.0728,0.361,0.000439,0.148,0.65,91.998,audio_features,,,,195162,4,2018,1
2tkQXP7XlPbtNKj99NepLa,ROMANCE,"['Fred De Palma', 'Justin Quiles']",45,ROMANCE,,0.706,0.828,11,-2.554,0,0.0675,0.249,5.25e-06,0.0718,0.522,175.942,audio_features,,,,180170,4,2022,1
3jhO0ilG42onbRpxQ2tmaQ,A dónde voy (feat. Daddy Yankee),"['Cosculluela', 'Daddy Yankee']",49,Blanco Perla,,0.713,0.794,9,-4.223,0,0.247,0.052,0.0,0.287,0.838,174.082,audio_features,,,,249200,4,2016,1
7eVr2GN82f4tJQ8qj4vtju,Trouble No More,['Allman Brothers Band'],43,The Allman Brothers Band (Deluxe),spotify:track:7eVr2GN82f4tJQ8qj4vtju,0.556,0.567,9,-11.426,0,0.0333,0.0581,0.00143,0.0907,0.858,141.345,audio_features,7eVr2GN82f4tJQ8qj4vtju,https://api.spotify.com/v1/tracks/7eVr2GN82f4tJQ8qj4vtju,https://api.spotify.com/v1/audio-analysis/7eVr2GN82f4tJQ8qj4vtju,227751,4,1969,0
