track_id,track_name,artist_name,popularity,album,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,track_href,analysis_url,duration_ms,time_signature,release_date,in_playlist
0xYTyyfV767E2Vn3hz56kL,Aerolínea Carrillo,"['T3R Elemento', 'Gerardo Ortiz']",67,The Green Trip,spotify:track:0xYTyyfV767E2Vn3hz56kL,0.669,0.561,1,-6.613,1,0.0318,0.337,0.0,0.198,0.867,114.405,audio_features,0xYTyyfV767E2Vn3hz56kL,https://api.spotify.com/v1/tracks/0xYTyyfV767E2Vn3hz56kL,https://api.spotify.com/v1/audio-analysis/0xYTyyfV767E2Vn3hz56kL,174276,3,2018,0
1vuC6Y0R7WI9uOUm4h6zYJ,"Nagri Nagri (""From Bibi Rajni"")","['Jyoti Nooran', 'Avvy Sra', 'Harmanjeet Singh']",46,"Nagri Nagri (""From Bibi Rajni"")",spotify:track:1vuC6Y0R7WI9uOUm4h6zYJ,0.333,0.648,0,-8.077,0,0.0482,0.204,2.91e-05,0.0977,0.528,83.707,audio_features,1vuC6Y0R7WI9uOUm4h6zYJ,https://api.spotify.com/v1/tracks/1vuC6Y0R7WI9uOUm4h6zYJ,https://api.spotify.com/v1/audio-analysis/1vuC6Y0R7WI9uOUm4h6zYJ,262326,4,2024,0
6REbwUNlppTfcnV4d4ZoZi,Swimming Pools (Drank),['Kendrick Lamar'],77,Swimming Pools (Drank),,0.693,0.445,8,-5.892,1,0.257,0.00625,0.000234,0.0899,0.199,74.044,audio_features,,,,247800,4,2012,1
2PY7w56NZdvh7YhBxfT4pE,Choppa (with Lil Baby & Rvssian),"['Byron Messia', 'Lil Baby', 'Rvssian']",64,Choppa (with Lil Baby & Rvssian),spotify:track:2PY7w56NZdvh7YhBxfT4pE,0.785,0.619,3,-5.42,0,0.106,0.322,0.0,0.0813,0.51,103.031,audio_features,2PY7w56NZdvh7YhBxfT4pE,https://api.spotify.com/v1/tracks/2PY7w56NZdvh7YhBxfT4pE,https://api.spotify.com/v1/audio-analysis/2PY7w56NZdvh7YhBxfT4pE,173246,4,2024,0
4iZTNyPJuxpWmfjUQRDwBY,Pakistan,"['D-Block Europe', 'Clavish']",58,DBE World,spotify:track:4iZTNyPJuxpWmfjUQRDwBY,0.854,0.719,5,-5.576,1,0.346,0.41,0.0,0.104,0.871,153.889,audio_features,4iZTNyPJuxpWmfjUQRDwBY,https://api.spotify.com/v1/tracks/4iZTNyPJuxpWmfjUQRDwBY,https://api.spotify.com/v1/audio-analysis/4iZTNyPJuxpWmfjUQRDwBY,174545,4,2023,0
5KbBVSj6AJZ5662fO8EYFh,El Merengue,"['Marshmello', 'Manuel Turizo']",80,Sugar Papi,spotify:track:5KbBVSj6AJZ5662fO8EYFh,0.777,0.774,8,-3.079,0,0.0553,0.0895,0.000401,0.0909,0.661,123.982,audio_features,5KbBVSj6AJZ5662fO8EYFh,https://api.spotify.com/v1/tracks/5KbBVSj6AJZ5662fO8EYFh,https://api.spotify.com/v1/audio-analysis/5KbBVSj6AJZ5662fO8EYFh,189669,4,2023,0
3X4r1d2VDYjgPYjAEjbEM7,Whenever You Need Somebody,['Rick Astley'],50,Whenever You Need Somebody,spotify:track:3X4r1d2VDYjgPYjAEjbEM7,0.716,0.946,0,-13.01,0,0.0402,0.108,9.45e-06,0.184,0.524,115.18,audio_features,3X4r1d2VDYjgPYjAEjbEM7,https://api.spotify.com/v1/tracks/3X4r1d2VDYjgPYjAEjbEM7,https://api.spotify.com/v1/audio-analysis/3X4r1d2VDYjgPYjAEjbEM7,233667,4,1987,0
6T7MAQCekVb3UnCykjX3BP,Disenchanted,['My Chemical Romance'],71,The Black Parade,spotify:track:6T7MAQCekVb3UnCykjX3BP,0.343,0.692,2,-3.926,1,0.0355,0.00218,0.0,0.112,0.153,174.07,audio_features,6T7MAQCekVb3UnCykjX3BP,https://api.spotify.com/v1/tracks/6T7MAQCekVb3UnCykjX3BP,https://api.spotify.com/v1/audio-analysis/6T7MAQCekVb3UnCykjX3BP,295000,4,2006,0
3JzVK0f8gqAAjyEDyXAys4,Sandpaper (feat. Bruce Springsteen),"['Zach Bryan', 'Bruce Springsteen']",71,The Great American Bar Scene,spotify:track:3JzVK0f8gqAAjyEDyXAys4,0.518,0.526,4,-8.467,1,0.0407,0.213,0.000168,0.0853,0.195,86.845,audio_features,3JzVK0f8gqAAjyEDyXAys4,https://api.spotify.com/v1/tracks/3JzVK0f8gqAAjyEDyXAys4,https://api.spotify.com/v1/audio-analysis/3JzVK0f8gqAAjyEDyXAys4,216253,4,2024,0
2vhyG6wMN64nlNakXJeKZ1,TELESCOPE,"['TWXN', 'LL Clawz', '507KAZ']",67,Project YVL,,0.539,0.433,10,-9.092,1,0.0327,0.114,7.65e-05,0.125,0.0999,130.037,audio_features,,,,143046,4,2024,1
68MTDH8Kk4jBEV1ah0n89s,EA (feat. 21 Savage),"['Young Nudy', '21 Savage']",71,SlimeBall 2,,0.451,0.876,10,-5.205,0,0.414,0.261,0.0,0.098,0.227,87.306,audio_features,,,,227175,5,2017,1
4pi1G1x8tl9VfdD9bL3maT,Big Energy,['Latto'],61,777,spotify:track:4pi1G1x8tl9VfdD9bL3maT,0.937,0.793,11,-4.431,0,0.115,0.0453,0.0,0.341,0.794,106.022,audio_features,4pi1G1x8tl9VfdD9bL3maT,https://api.spotify.com/v1/tracks/4pi1G1x8tl9VfdD9bL3maT,https://api.spotify.com/v1/audio-analysis/4pi1G1x8tl9VfdD9bL3maT,172540,4,2022,0
2QxYsn2ygOrfJ70JItrlCO,#CERTIFIED (feat. DJ Ess) - DJ Ess Mix,"['BabyTron', 'DJ Ess']",66,#CERTIFIED (DJ Ess Mix) [feat. DJ Ess],,0.735,0.548,8,-4.162,1,0.043,0.00785,2.23e-06,0.114,0.114,95.052,audio_features,,,,122012,4,2023,1
66W1rVTnEv86dIkFhoiElg,Secrets,"['Regard', 'RAYE']",65,Secrets,spotify:track:66W1rVTnEv86dIkFhoiElg,0.848,0.768,6,-5.386,0,0.0373,0.0412,0.000785,0.195,0.777,118.961,audio_features,66W1rVTnEv86dIkFhoiElg,https://api.spotify.com/v1/tracks/66W1rVTnEv86dIkFhoiElg,https://api.spotify.com/v1/audio-analysis/66W1rVTnEv86dIkFhoiElg,176767,4,2020,0
6J71OQe9YJT7meQxi6K2IY,BIG BODY (feat. DaBaby),"[""D'Aydrian Harding"", 'DaBaby']",63,BIG BODY (feat. DaBaby),spotify:track:6J71OQe9YJT7meQxi6K2IY,0.894,0.778,1,-4.573,1,0.309,0.0964,0.0,0.0888,0.754,141.937,audio_features,6J71OQe9YJT7meQxi6K2IY,https://api.spotify.com/v1/tracks/6J71OQe9YJT7meQxi6K2IY,https://api.spotify.com/v1/audio-analysis/6J71OQe9YJT7meQxi6K2IY,156320,4,2024,0
0PHrcmOtDE89ew4vVEaD7S,BANDIT,['Don Toliver'],76,HARDSTONE PSYCHO,,0.68,0.794,2,-4.534,1,0.0414,0.00585,0.0,0.473,0.111,130.109,audio_features,,,,147706,4,2024,1
7KXjTSCq5nL1LoYtL7XAwS,HUMBLE.,['Kendrick Lamar'],83,DAMN.,,0.908,0.621,1,-6.638,0,0.102,0.000282,5.39e-05,0.0958,0.421,150.011,audio_features,,,,177000,4,2017,1
2cDCojn6uIBM6A5xTAbl3H,m.A.A.d city,"['Kendrick Lamar', 'MC Eiht']",63,"good kid, m.A.A.d city (Deluxe)",,0.487,0.729,2,-6.815,1,0.271,0.0538,4.09e-06,0.44,0.217,91.066,audio_features,,,,350120,4,2012,1
68JZIPnGZxbExNeSb6KslW,We Got the Power (feat. Jehnny Beth) - Claptone Remix,"['Gorillaz', 'Jehnny Beth', 'Claptone']",52,We Got the Power (feat. Jehnny Beth) [Claptone Remix],spotify:track:68JZIPnGZxbExNeSb6KslW,0.85,0.645,9,-8.519,0,0.0959,0.000873,0.801,0.0454,0.328,122.001,audio_features,68JZIPnGZxbExNeSb6KslW,https://api.spotify.com/v1/tracks/68JZIPnGZxbExNeSb6KslW,https://api.spotify.com/v1/audio-analysis/68JZIPnGZxbExNeSb6KslW,364918,4,2017,0
3xby7fOyqmeON8jsnom0AT,Nightcrawler (feat. Swae Lee & Chief Keef),"['Travis Scott', 'Swae Lee', 'Chief Keef']",78,Rodeo,,0.522,0.731,3,-3.803,0,0.0325,0.0013,0.0,0.132,0.179,124.055,audio_features,,,,321560,4,2015,1
6IZvVAP7VPPnsGX6bvgkqg,PRIDE.,['Kendrick Lamar'],82,DAMN.,,0.665,0.535,4,-7.056,0,0.0572,0.0786,1.68e-05,0.154,0.37,138.842,audio_features,,,,275253,4,2017,1
4kjI1gwQZRKNDkw1nI475M,MY EYES,['Travis Scott'],82,UTOPIA,,0.455,0.621,0,-7.694,0,0.0517,0.651,2.59e-06,0.123,0.28,119.043,audio_features,,,,251249,4,2023,1
2igwFfvr1OAGX9SKDCPBwO,Empire State Of Mind,"['JAY-Z', 'Alicia Keys']",80,The Blueprint 3,spotify:track:2igwFfvr1OAGX9SKDCPBwO,0.491,0.956,11,-1.538,1,0.392,0.0295,0.0,0.46,0.811,173.585,audio_features,2igwFfvr1OAGX9SKDCPBwO,https://api.spotify.com/v1/tracks/2igwFfvr1OAGX9SKDCPBwO,https://api.spotify.com/v1/audio-analysis/2igwFfvr1OAGX9SKDCPBwO,276920,4,2009,0
6fL8iaSdwmSTQiUv9K6L4h,Faneto,['Chief Keef'],71,Back from the Dead 2,,0.849,0.753,1,-7.399,0,0.357,0.346,0.0,0.0565,0.392,144.188,audio_features,,,,206654,4,2015,1
3pVj1Dpgf45D4yCG7w8f6M,The Final Countdown,['Europe'],50,On Your 80's Radio,spotify:track:3pVj1Dpgf45D4yCG7w8f6M,0.525,0.807,6,-9.298,0,0.0569,0.054,0.000575,0.178,0.3,117.589,audio_features,3pVj1Dpgf45D4yCG7w8f6M,https://api.spotify.com/v1/tracks/3pVj1Dpgf45D4yCG7w8f6M,https://api.spotify.com/v1/audio-analysis/3pVj1Dpgf45D4yCG7w8f6M,239573,4,2002,0
2tHwzyyOLoWSFqYNjeVMzj,Please Please Please,['Sabrina Carpenter'],87,Short n' Sweet,spotify:track:2tHwzyyOLoWSFqYNjeVMzj,0.675,0.586,9,-6.086,1,0.0531,0.257,0.0,0.104,0.621,107.015,audio_features,2tHwzyyOLoWSFqYNjeVMzj,https://api.spotify.com/v1/tracks/2tHwzyyOLoWSFqYNjeVMzj,https://api.spotify.com/v1/audio-analysis/2tHwzyyOLoWSFqYNjeVMzj,186365,4,2024,0
0qGWdzIbvxO1QsUiwfAoNz,Hanya Rindu,['Andmesh'],59,Cinta Luar Biasa,spotify:track:0qGWdzIbvxO1QsUiwfAoNz,0.281,0.174,7,-12.669,1,0.0333,0.896,0.0,0.106,0.265,178.476,audio_features,0qGWdzIbvxO1QsUiwfAoNz,https://api.spotify.com/v1/tracks/0qGWdzIbvxO1QsUiwfAoNz,https://api.spotify.com/v1/audio-analysis/0qGWdzIbvxO1QsUiwfAoNz,252056,3,2019,0
7MdTmsldV3tZ7b7rdosdBn,Tears Without You,['Sharny'],21,The Sun Will Always Rise,spotify:track:7MdTmsldV3tZ7b7rdosdBn,0.367,0.339,7,-16.595,0,0.0466,0.317,0.000138,0.113,0.102,150.403,audio_features,7MdTmsldV3tZ7b7rdosdBn,https://api.spotify.com/v1/tracks/7MdTmsldV3tZ7b7rdosdBn,https://api.spotify.com/v1/audio-analysis/7MdTmsldV3tZ7b7rdosdBn,184483,4,2024,0
27xFMBWh15wyYGGAVrEMuK,"Mi Mala (feat. Becky G, Leslie Grace & Lali) - Remix","['Mau y Ricky', 'KAROL G', 'Becky G', 'Leslie Grace', 'Lali']",55,Para Aventuras y Curiosidades,spotify:track:27xFMBWh15wyYGGAVrEMuK,0.75,0.619,5,-5.777,0,0.212,0.0184,0.0,0.13,0.78,172.002,audio_features,27xFMBWh15wyYGGAVrEMuK,https://api.spotify.com/v1/tracks/27xFMBWh15wyYGGAVrEMuK,https://api.spotify.com/v1/audio-analysis/27xFMBWh15wyYGGAVrEMuK,255092,4,2019,0
1vux5TJpXtc7tbjA1YODpp,Capo,['NLE Choppa'],63,Capo,,0.614,0.953,2,-4.162,1,0.0688,0.119,0.0,0.331,0.593,154.969,audio_features,,,,192200,4,2022,1
5eqK0tbzUPo2SoeZsov04s,Bank Account,['21 Savage'],72,Issa Album,,0.884,0.347,8,-8.227,0,0.35,0.015,7e-06,0.0871,0.376,75.016,audio_features,,,,220306,4,2017,1
4rcHWl68ai6KvpXlc8vbnE,Keep on Loving You,['REO Speedwagon'],70,Hi Infidelity (30th Anniversary Edition),spotify:track:4rcHWl68ai6KvpXlc8vbnE,0.306,0.722,0,-5.963,1,0.034,0.0519,0.0,0.117,0.41,174.732,audio_features,4rcHWl68ai6KvpXlc8vbnE,https://api.spotify.com/v1/tracks/4rcHWl68ai6KvpXlc8vbnE,https://api.spotify.com/v1/audio-analysis/4rcHWl68ai6KvpXlc8vbnE,200293,4,1980,0
77DRzu7ERs0TX3roZcre7Q,euphoria,['Kendrick Lamar'],78,euphoria,,0.831,0.643,1,-5.002,1,0.11,0.046,0.0,0.084,0.142,139.948,audio_features,,,,383639,4,2024,1
4IG4BU5vZECLPzpb0ewRr6,Casate Conmigo,"['Felipe Zarate', 'Cuarteto Valenciano']",12,Casate Conmigo,spotify:track:4IG4BU5vZECLPzpb0ewRr6,0.741,0.624,8,-7.399,1,0.0767,0.0369,0.0,0.0788,0.725,101.558,audio_features,4IG4BU5vZECLPzpb0ewRr6,https://api.spotify.com/v1/tracks/4IG4BU5vZECLPzpb0ewRr6,https://api.spotify.com/v1/audio-analysis/4IG4BU5vZECLPzpb0ewRr6,206291,4,2023,0
3IPJg1sdqLj12kFIndaonN,No Hay Nadie Más,['Sebastian Yatra'],72,MANTRA,spotify:track:3IPJg1sdqLj12kFIndaonN,0.695,0.379,6,-9.147,1,0.034,0.858,0.0,0.106,0.805,105.057,audio_features,3IPJg1sdqLj12kFIndaonN,https://api.spotify.com/v1/tracks/3IPJg1sdqLj12kFIndaonN,https://api.spotify.com/v1/audio-analysis/3IPJg1sdqLj12kFIndaonN,199733,4,2018,0
3iVu49ZmRHsCdRA0RTGUkP,Eres Tú,"['Matisse', 'Reik']",60,Tres,spotify:track:3iVu49ZmRHsCdRA0RTGUkP,0.566,0.488,9,-8.595,1,0.0301,0.265,0.0,0.11,0.36,145.924,audio_features,3iVu49ZmRHsCdRA0RTGUkP,https://api.spotify.com/v1/tracks/3iVu49ZmRHsCdRA0RTGUkP,https://api.spotify.com/v1/audio-analysis/3iVu49ZmRHsCdRA0RTGUkP,218232,4,2020,0
4PklAHGXT5ityno3IA8SKd,Go Stupid,"['Polo G', 'Stunna 4 Vegas', 'NLE Choppa', 'Mike WiLL Made-It']",72,THE GOAT,,0.92,0.833,1,-3.18,1,0.253,0.0277,0.0,0.0596,0.645,141.034,audio_features,,,,165726,4,2020,1
6mYrhCAGWzTdF8QnKuchXM,If I Could Turn Back Time,['Cher'],70,Heart Of Stone,spotify:track:6mYrhCAGWzTdF8QnKuchXM,0.658,0.575,11,-10.365,1,0.0267,0.243,0.0,0.122,0.504,108.329,audio_features,6mYrhCAGWzTdF8QnKuchXM,https://api.spotify.com/v1/tracks/6mYrhCAGWzTdF8QnKuchXM,https://api.spotify.com/v1/audio-analysis/6mYrhCAGWzTdF8QnKuchXM,239827,4,1989,0
