track_id,track_name,artist_name,popularity,album,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,track_href,analysis_url,duration_ms,time_signature,release_date,in_playlist
6xZYGIixR3zhhOHwu7UEMY,mewtwo,['Ken Carson'],73,A Great Chaos (Deluxe),spotify:track:6xZYGIixR3zhhOHwu7UEMY,0.646,0.745,8,-3.341,1,0.128,0.0206,0.0,0.154,0.316,149.971,audio_features,6xZYGIixR3zhhOHwu7UEMY,https://api.spotify.com/v1/tracks/6xZYGIixR3zhhOHwu7UEMY,https://api.spotify.com/v1/audio-analysis/6xZYGIixR3zhhOHwu7UEMY,128000,4,2024,0
4FI0rdztOAYJZMupujL5Gp,Fuck You,"['Dr. Dre', 'Devin The Dude', 'Snoop Dogg']",61,2001,,0.876,0.573,0,-3.764,1,0.431,0.294,0.0,0.121,0.756,92.236,audio_features,,,,205453,4,1999,1
53BZ6XygAoubR5DU5w38Vq,Real Muthaphuckkin' G's,['Eazy-E'],63,Gangsta Memorial,,0.724,0.853,11,-3.895,0,0.283,0.0164,0.0,0.65,0.775,170.51,audio_features,,,,332733,4,2007,1
0NzNKU2MJ9LCetT2uZMJH2,So Many Tears,['2Pac'],64,Me Against The World,,0.899,0.6,1,-7.451,1,0.154,0.0184,1.68e-05,0.0725,0.586,92.717,audio_features,,,,239226,4,1995,1
25ZEYUgCJyf3gRxkqYbkIc,Leave The World Behind - Radio Edit,"['Axwell', 'Sebastian Ingrosso', 'Steve Angello', 'Laidback Luke', 'Deborah Cox']",57,Leave The World Behind,spotify:track:25ZEYUgCJyf3gRxkqYbkIc,0.525,0.849,10,-7.727,0,0.0484,0.00232,0.00196,0.322,0.277,128.055,audio_features,25ZEYUgCJyf3gRxkqYbkIc,https://api.spotify.com/v1/tracks/25ZEYUgCJyf3gRxkqYbkIc,https://api.spotify.com/v1/audio-analysis/25ZEYUgCJyf3gRxkqYbkIc,161719,4,2009,0
2uwnP6tZVVmTovzX5ELooy,Power Trip (feat. Miguel),"['J. Cole', 'Miguel']",77,Born Sinner (Deluxe Version),spotify:track:2uwnP6tZVVmTovzX5ELooy,0.667,0.608,1,-7.054,1,0.216,0.324,0.000198,0.426,0.475,99.992,audio_features,2uwnP6tZVVmTovzX5ELooy,https://api.spotify.com/v1/tracks/2uwnP6tZVVmTovzX5ELooy,https://api.spotify.com/v1/audio-analysis/2uwnP6tZVVmTovzX5ELooy,241160,4,2013,0
1sVUR6ZtKsAypm8qOEpgio,C-Walk,"['Kurupt', 'Tray Dee', 'Slip Capone']",48,Old School Hip Hop Party,,0.913,0.444,0,-8.718,1,0.249,0.0283,4.27e-05,0.0626,0.627,94.984,audio_features,,,,311666,4,2022,1
4oNu6GOau2CLd9eyvpI6Kl,SUPERNOVA,['SAIKO'],63,SAKURA,spotify:track:4oNu6GOau2CLd9eyvpI6Kl,0.499,0.676,10,-6.722,0,0.0961,0.0556,4.71e-05,0.61,0.263,176.068,audio_features,4oNu6GOau2CLd9eyvpI6Kl,https://api.spotify.com/v1/tracks/4oNu6GOau2CLd9eyvpI6Kl,https://api.spotify.com/v1/audio-analysis/4oNu6GOau2CLd9eyvpI6Kl,190909,4,2024,0
5mMPLxAoeSlZ7CuOG1oaSs,Believing,['The Calling'],33,Two,spotify:track:5mMPLxAoeSlZ7CuOG1oaSs,0.491,0.624,8,-6.5,1,0.0292,0.0794,0.0,0.115,0.305,88.071,audio_features,5mMPLxAoeSlZ7CuOG1oaSs,https://api.spotify.com/v1/tracks/5mMPLxAoeSlZ7CuOG1oaSs,https://api.spotify.com/v1/audio-analysis/5mMPLxAoeSlZ7CuOG1oaSs,231320,4,2004,0
6LwrEZNkvFTOypNwSLjuaJ,2 Of Amerikaz Most Wanted (ft. Snoop Doggy Dogg),"['2Pac', 'Snoop Dogg']",70,All Eyez On Me,,0.849,0.904,8,-4.78,1,0.138,0.0248,5.11e-05,0.0545,0.854,99.258,audio_features,,,,246533,4,1996,1
0Z2J91b2iTGLVTZC4fKgxf,Hit 'Em Up - Single Version,"['2Pac', 'Outlawz']",80,Greatest Hits,,0.916,0.844,7,-3.967,1,0.236,0.0394,0.0,0.0778,0.586,95.19,audio_features,,,,312626,4,1998,1
2ntj6zoYOXfdQDzxo2kHrD,Still Not a Player (feat. Joe),"['Big Pun', 'Joe']",43,The Legacy: The Best Of Big Pun,,0.902,0.653,4,-5.425,0,0.284,0.19,0.00102,0.0895,0.863,94.068,audio_features,,,,236120,4,2009,1
2Ja3UauMDeQnq4sI8a64Ys,"Affirmative Action (feat. AZ, Cormega & Foxy Brown)","['Nas', 'AZ', 'Cormega', 'Foxy Brown']",56,It Was Written,,0.665,0.566,3,-9.209,0,0.443,0.484,0.0,0.16,0.755,173.804,audio_features,,,,259800,4,1996,1
2hzKxuc2LwqMnkoVRMkV0B,Smile,['G-Unit'],57,Beg For Mercy,,0.779,0.51,8,-3.629,0,0.252,0.262,0.0,0.0865,0.591,90.025,audio_features,,,,218000,4,2003,1
4VSx9uyg0sZpdnygVar6pE,"Sweetest Girl (Dollar Bill) (feat. Akon, Lil' Wayne & Niia)","['Wyclef Jean', 'Akon', 'Lil Wayne', 'Niia']",47,CARNIVAL VOL. II...Memoirs of an Immigrant,spotify:track:4VSx9uyg0sZpdnygVar6pE,0.73,0.746,1,-3.53,1,0.0517,0.0672,0.0,0.353,0.549,92.523,audio_features,4VSx9uyg0sZpdnygVar6pE,https://api.spotify.com/v1/tracks/4VSx9uyg0sZpdnygVar6pE,https://api.spotify.com/v1/audio-analysis/4VSx9uyg0sZpdnygVar6pE,239440,4,2007,0
3yjVsUq8psgcHm8SQrZ8i4,Hip 2 Da Game,['Lord Finesse'],58,The Awakening,,0.769,0.752,11,-6.0,1,0.324,0.0317,2.96e-06,0.0564,0.527,90.228,audio_features,,,,243106,4,1996,1
6L3VWDPDTQkQFkqvmpAUMU,Something to Believe In,['Young the Giant'],52,Home of the Strange,spotify:track:6L3VWDPDTQkQFkqvmpAUMU,0.623,0.886,1,-3.044,1,0.0404,0.0245,0.0,0.247,0.709,92.021,audio_features,6L3VWDPDTQkQFkqvmpAUMU,https://api.spotify.com/v1/tracks/6L3VWDPDTQkQFkqvmpAUMU,https://api.spotify.com/v1/audio-analysis/6L3VWDPDTQkQFkqvmpAUMU,228467,4,2016,0
6S5SJlNXgrUBTLa58NMwGk,2 Of Amerikaz Most Wanted,"['2Pac', 'Snoop Dogg']",58,Greatest Hits,,0.853,0.876,1,-3.415,1,0.131,0.0426,0.00202,0.0548,0.845,99.236,audio_features,,,,246666,4,1998,1
0djkJ3iAARXRCbfbwwVc3o,Love wins all,['IU'],68,Love wins all,spotify:track:0djkJ3iAARXRCbfbwwVc3o,0.496,0.447,0,-5.878,1,0.0317,0.82,0.0,0.098,0.315,101.132,audio_features,0djkJ3iAARXRCbfbwwVc3o,https://api.spotify.com/v1/tracks/0djkJ3iAARXRCbfbwwVc3o,https://api.spotify.com/v1/audio-analysis/0djkJ3iAARXRCbfbwwVc3o,271080,4,2024,0
1UcyzhmBDfdw07DiuT7DEG,The Perfect Girl - The Motion Retrowave Remix,"['Mareux', 'The Motion']",60,The Perfect Girl (The Motion Retrowave Remix),spotify:track:1UcyzhmBDfdw07DiuT7DEG,0.594,0.759,6,-7.883,0,0.0512,0.000835,0.879,0.077,0.164,118.062,audio_features,1UcyzhmBDfdw07DiuT7DEG,https://api.spotify.com/v1/tracks/1UcyzhmBDfdw07DiuT7DEG,https://api.spotify.com/v1/audio-analysis/1UcyzhmBDfdw07DiuT7DEG,181017,4,2022,0
0QMHVTnrFTQJoaqmkdsKhT,I Wish - Radio Edit,['Skee-Lo'],61,I Wish,,0.715,0.738,7,-10.139,1,0.157,0.00826,0.0,0.26,0.573,97.877,audio_features,,,,252306,4,1995,1
5yAu4njFSdM47dfsTkQPZ2,Runnin' Down A Dream,['Tom Petty'],67,The Best Of Everything - The Definitive Career Spanning Hits Collection 1976-2016,spotify:track:5yAu4njFSdM47dfsTkQPZ2,0.471,0.956,9,-6.371,1,0.0402,0.000596,0.615,0.624,0.715,169.798,audio_features,5yAu4njFSdM47dfsTkQPZ2,https://api.spotify.com/v1/tracks/5yAu4njFSdM47dfsTkQPZ2,https://api.spotify.com/v1/audio-analysis/5yAu4njFSdM47dfsTkQPZ2,261813,4,2019,0
0gz49NTdMvizrgZfSJAK2P,Burnin' - Art Edit,"['ANOTR', 'Stef Davidse']",43,Burnin' (Art Edit),spotify:track:0gz49NTdMvizrgZfSJAK2P,0.804,0.899,0,-8.007,1,0.0438,0.000214,0.907,0.0352,0.333,128.012,audio_features,0gz49NTdMvizrgZfSJAK2P,https://api.spotify.com/v1/tracks/0gz49NTdMvizrgZfSJAK2P,https://api.spotify.com/v1/audio-analysis/0gz49NTdMvizrgZfSJAK2P,345000,4,2020,0
2p9sprAX27D6U5cuSE9NsM,When I B On Tha Mic,['Rakim'],60,The Master,,0.836,0.484,2,-7.332,1,0.327,0.0454,0.0,0.0557,0.839,95.941,audio_features,,,,222933,4,1999,1
60uesDF4UyLUs61FgiDkdp,Hello,"['Ice Cube', 'Dr. Dre', 'MC Ren']",63,War & Peace Vol. 2 (The Peace Disc),,0.903,0.61,10,-6.176,0,0.339,0.155,0.0,0.389,0.627,91.46,audio_features,,,,232533,4,2000,1
0JJP0IS4w0fJx01EcrfkDe,"Dear Maria, Count Me In",['All Time Low'],75,"So Wrong, It's Right",spotify:track:0JJP0IS4w0fJx01EcrfkDe,0.459,0.895,2,-3.126,1,0.0805,0.00725,0.0,0.206,0.572,181.04,audio_features,0JJP0IS4w0fJx01EcrfkDe,https://api.spotify.com/v1/tracks/0JJP0IS4w0fJx01EcrfkDe,https://api.spotify.com/v1/audio-analysis/0JJP0IS4w0fJx01EcrfkDe,182827,4,2007,0
1zB0kXKLQr7tYifth69jlG,"Picture Me Rollin' (ft. Danny Boy, CPO, Big Syke)","['2Pac', 'Big Syke', 'C-PO', 'Danny Boy']",59,All Eyez On Me,,0.834,0.759,7,-4.918,1,0.135,0.0278,0.0,0.471,0.438,95.927,audio_features,,,,314720,4,1996,1
3UmaczJpikHgJFyBTAJVoz,Stan,"['Eminem', 'Dido']",79,The Marshall Mathers LP,,0.78,0.768,6,-4.325,0,0.238,0.0371,2.34e-06,0.518,0.507,80.063,audio_features,,,,404106,4,2000,1
0xdYzkbBBfTevSyOJqWUSX,Sky's the Limit (feat. 112) - 2014 Remaster,"['The Notorious B.I.G.', '112']",60,Life After Death (2014 Remastered Edition),,0.637,0.66,0,-4.792,1,0.162,0.217,0.0,0.09,0.503,90.876,audio_features,,,,329426,4,1997,1
6MbxtmdQYE6eljl9sntLZt,"The Gangsta, The Killa And The Dope Dealer",['Westside Connection'],52,The Best Of Westside Connection,,0.804,0.697,11,-8.51,1,0.264,0.309,0.0,0.884,0.472,92.919,audio_features,,,,250226,4,2007,1
3MfS8Sw9ioXfWF6X9PEAgL,Moving Out,['Vacations'],55,Changes,spotify:track:3MfS8Sw9ioXfWF6X9PEAgL,0.499,0.826,2,-8.283,1,0.0355,4.24e-05,0.537,0.094,0.704,129.898,audio_features,3MfS8Sw9ioXfWF6X9PEAgL,https://api.spotify.com/v1/tracks/3MfS8Sw9ioXfWF6X9PEAgL,https://api.spotify.com/v1/audio-analysis/3MfS8Sw9ioXfWF6X9PEAgL,190963,4,2018,0
59VNZlySTbDbIsv8oAke5Y,Mobile Suit Woe,['Xavier Wulf'],60,Blood Shore Season 2,spotify:track:59VNZlySTbDbIsv8oAke5Y,0.8,0.603,1,-6.947,0,0.0359,0.0979,0.000972,0.108,0.51,114.977,audio_features,59VNZlySTbDbIsv8oAke5Y,https://api.spotify.com/v1/tracks/59VNZlySTbDbIsv8oAke5Y,https://api.spotify.com/v1/audio-analysis/59VNZlySTbDbIsv8oAke5Y,145972,4,2014,0
0cppqb4vQycORHNMxr8DGd,Favorite Part Of Me,['Astrid S'],48,Down Low,spotify:track:0cppqb4vQycORHNMxr8DGd,0.598,0.502,1,-6.273,1,0.0447,0.862,0.0,0.096,0.403,121.621,audio_features,0cppqb4vQycORHNMxr8DGd,https://api.spotify.com/v1/tracks/0cppqb4vQycORHNMxr8DGd,https://api.spotify.com/v1/audio-analysis/0cppqb4vQycORHNMxr8DGd,198391,5,2019,0
33rsCCLHklTQav9klbpnAi,Warning - 2005 Remaster,['The Notorious B.I.G.'],57,Ready to Die (The Remaster),,0.596,0.791,11,-7.582,0,0.476,0.345,1.42e-05,0.136,0.399,171.919,audio_features,,,,220440,4,1994,1
