track_id,track_name,artist_name,popularity,album,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,track_href,analysis_url,duration_ms,time_signature,release_date,in_playlist
1OZpgVRQKkxcoeEocqTMRZ,Pongámonos De Acuerdo,['Julión Álvarez y su Norteño Banda'],77,El Aferrado,spotify:track:1OZpgVRQKkxcoeEocqTMRZ,0.758,0.525,8,-5.913,1,0.0611,0.43,0.0,0.0747,0.976,97.465,audio_features,1OZpgVRQKkxcoeEocqTMRZ,https://api.spotify.com/v1/tracks/1OZpgVRQKkxcoeEocqTMRZ,https://api.spotify.com/v1/audio-analysis/1OZpgVRQKkxcoeEocqTMRZ,161907,3,2015,0
2DLrgv7HhJanCuD8L9uJLR,Zenzenzense - movie ver.,['RADWIMPS'],62,Your Name.,spotify:track:2DLrgv7HhJanCuD8L9uJLR,0.321,0.906,11,-3.967,1,0.141,0.000439,0.0,0.0862,0.641,189.776,audio_features,2DLrgv7HhJanCuD8L9uJLR,https://api.spotify.com/v1/tracks/2DLrgv7HhJanCuD8L9uJLR,https://api.spotify.com/v1/audio-analysis/2DLrgv7HhJanCuD8L9uJLR,285880,4,2016,0
3gDbwvZ49B1j9yagKv8laa,To Me,['Alina Baraz'],54,It Was Divine,spotify:track:3gDbwvZ49B1j9yagKv8laa,0.276,0.553,1,-9.809,1,0.0443,0.424,0.224,0.0884,0.0397,77.932,audio_features,3gDbwvZ49B1j9yagKv8laa,https://api.spotify.com/v1/tracks/3gDbwvZ49B1j9yagKv8laa,https://api.spotify.com/v1/audio-analysis/3gDbwvZ49B1j9yagKv8laa,257055,4,2020,0
2KqJC0koTBUyDlsMt5ok1V,Look What God Gave Her,['Thomas Rhett'],64,Center Point Road,spotify:track:2KqJC0koTBUyDlsMt5ok1V,0.739,0.849,2,-3.967,1,0.0308,0.0272,0.0,0.181,0.882,112.999,audio_features,2KqJC0koTBUyDlsMt5ok1V,https://api.spotify.com/v1/tracks/2KqJC0koTBUyDlsMt5ok1V,https://api.spotify.com/v1/audio-analysis/2KqJC0koTBUyDlsMt5ok1V,168960,4,2019,0
5WOWNSuKAutRgV5tIPj1kZ,Electrified,['Other Gods'],19,Electrified,,0.8,0.51,7,-9.159,1,0.0339,0.0139,0.00458,0.272,0.501,110.022,audio_features,,,,162722,4,2024,1
0gNE5SN9JNarhCpZBiHL9q,Highland Girl,['Nathan Evans'],59,Highland Girl,spotify:track:0gNE5SN9JNarhCpZBiHL9q,0.589,0.867,8,-5.906,1,0.0722,0.0285,0.0,0.276,0.942,105.033,audio_features,0gNE5SN9JNarhCpZBiHL9q,https://api.spotify.com/v1/tracks/0gNE5SN9JNarhCpZBiHL9q,https://api.spotify.com/v1/audio-analysis/0gNE5SN9JNarhCpZBiHL9q,176134,4,2024,0
4hrAKlxfblnG7llBEEX7TR,Run,['Leona Lewis'],57,Spirit,spotify:track:4hrAKlxfblnG7llBEEX7TR,0.285,0.462,5,-6.166,0,0.0291,0.428,5.61e-06,0.122,0.0923,142.365,audio_features,4hrAKlxfblnG7llBEEX7TR,https://api.spotify.com/v1/tracks/4hrAKlxfblnG7llBEEX7TR,https://api.spotify.com/v1/audio-analysis/4hrAKlxfblnG7llBEEX7TR,314720,4,2007,0
2AEdOdncBWl9AUEMlfzrFu,Ylang Ylang,"['FKJ', '((( O )))']",57,Ylang Ylang EP,spotify:track:2AEdOdncBWl9AUEMlfzrFu,0.582,0.244,1,-12.443,1,0.0325,0.923,0.917,0.108,0.157,69.978,audio_features,2AEdOdncBWl9AUEMlfzrFu,https://api.spotify.com/v1/tracks/2AEdOdncBWl9AUEMlfzrFu,https://api.spotify.com/v1/audio-analysis/2AEdOdncBWl9AUEMlfzrFu,213000,4,2019,0
0t7d6wbJLS2A31yqlHFew7,Mélanine,"[""Heuss L'enfoiré"", 'Werenoi']",65,LVDR,spotify:track:0t7d6wbJLS2A31yqlHFew7,0.718,0.868,5,-4.426,1,0.0626,0.0128,3.45e-05,0.112,0.772,129.975,audio_features,0t7d6wbJLS2A31yqlHFew7,https://api.spotify.com/v1/tracks/0t7d6wbJLS2A31yqlHFew7,https://api.spotify.com/v1/audio-analysis/0t7d6wbJLS2A31yqlHFew7,181973,4,2024,0
2Nb2avuNOIo4ZeTvqJWQnE,Bentley Blues,['Elise Eriksen'],25,Bentley Blues,,0.742,0.397,11,-7.282,0,0.0379,0.264,0.0,0.116,0.318,115.947,audio_features,,,,136324,4,2024,1
