track_id,track_name,artist_name,popularity,album,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,track_href,analysis_url,duration_ms,time_signature,release_date,in_playlist
6pj9JkwBA6VzYdLXvaJkPh,September - Instrumental,['Sparky Deathcap'],64,September,,0.683,0.349,8,-12.014,1,0.035,0.957,0.806,0.0755,0.555,139.84,audio_features,,,,189680,3,2009,1
05wIrZSwuaVWhcv5FfqeH0,Walking On Sunshine,['Katrina & The Waves'],76,Katrina & The Waves,spotify:track:05wIrZSwuaVWhcv5FfqeH0,0.597,0.87,10,-11.97,1,0.0371,0.0119,0.166,0.0678,0.944,109.901,audio_features,05wIrZSwuaVWhcv5FfqeH0,https://api.spotify.com/v1/tracks/05wIrZSwuaVWhcv5FfqeH0,https://api.spotify.com/v1/audio-analysis/05wIrZSwuaVWhcv5FfqeH0,238733,4,1985,0
5sfvzgf96i6nLyLELnrLZ6,Georgia,['Vance Joy'],67,Dream Your Life Away (Deluxe Edition),,0.388,0.659,11,-7.372,1,0.0308,0.312,0.000315,0.0943,0.401,143.554,audio_features,,,,230506,4,2014,1
0OTNHGKcqQbk51bOYe462Y,ULTRA SOLO,"['Polimá Westcoast', 'Pailita']",66,ULTRA SOLO,spotify:track:0OTNHGKcqQbk51bOYe462Y,0.802,0.846,1,-4.495,1,0.207,0.233,1.92e-05,0.114,0.26,109.982,audio_features,0OTNHGKcqQbk51bOYe462Y,https://api.spotify.com/v1/tracks/0OTNHGKcqQbk51bOYe462Y,https://api.spotify.com/v1/audio-analysis/0OTNHGKcqQbk51bOYe462Y,227221,4,2022,0
2pGH2MRfqXyFJtVPVBZ7Gx,Pwede Ba,['Lola Amour'],57,Pwede Ba,spotify:track:2pGH2MRfqXyFJtVPVBZ7Gx,0.665,0.325,0,-7.658,1,0.0544,0.607,0.000429,0.105,0.253,79.496,audio_features,2pGH2MRfqXyFJtVPVBZ7Gx,https://api.spotify.com/v1/tracks/2pGH2MRfqXyFJtVPVBZ7Gx,https://api.spotify.com/v1/audio-analysis/2pGH2MRfqXyFJtVPVBZ7Gx,342807,4,2018,0
6RZwj2PZDqM6g7gmO6bOxw,Do Dhaari Talwaar,"['Sohail Sen', 'Shahid Mallya', 'Shweta Pandit', 'Irshad Kamil']",53,Mere Brother Ki Dulhan,spotify:track:6RZwj2PZDqM6g7gmO6bOxw,0.703,0.883,0,-7.85,0,0.045,0.47,8.46e-06,0.31,0.839,135.05,audio_features,6RZwj2PZDqM6g7gmO6bOxw,https://api.spotify.com/v1/tracks/6RZwj2PZDqM6g7gmO6bOxw,https://api.spotify.com/v1/audio-analysis/6RZwj2PZDqM6g7gmO6bOxw,300826,4,2011,0
21dpBHPTV7ythCHBI6Slcw,If By Chance,['Ruth B.'],61,Safe Haven,,0.405,0.279,10,-8.099,1,0.0334,0.881,0.0,0.0933,0.256,119.85,audio_features,,,,303653,4,2017,1
6me7F0aaZjwDo6RJ5MrfBD,Evergreen,['Richy Mitch & The Coal Miners'],84,RMCM,,0.555,0.216,3,-11.661,1,0.0721,0.557,0.00416,0.109,0.504,79.109,audio_features,,,,87000,3,2017,1
3SAC6Ka0EIeWhk341z9Bd7,in for it,"['11:11 Music Group', 'accelerate', 'ghostly echoes']",54,in for it,spotify:track:3SAC6Ka0EIeWhk341z9Bd7,0.567,0.349,6,-11.668,0,0.0324,0.134,0.0511,0.111,0.147,113.981,audio_features,3SAC6Ka0EIeWhk341z9Bd7,https://api.spotify.com/v1/tracks/3SAC6Ka0EIeWhk341z9Bd7,https://api.spotify.com/v1/audio-analysis/3SAC6Ka0EIeWhk341z9Bd7,187895,4,2023,0
4k7x3QKrc3h3U0Viqk0uop,Rosyln,"['Bon Iver', 'St. Vincent']",75,The Twilight Saga: New Moon (Original Motion Picture Soundtrack),,0.329,0.277,10,-13.111,0,0.0302,0.971,0.024,0.0971,0.121,159.719,audio_features,,,,289560,3,2009,1
0A6QSdwR4ZtW2JbpziCcQi,Only You - Bad Boy Remix,"['112', 'Mase', 'The Notorious B.I.G.', 'Carlos Broady', 'Nashiem Myrick', 'Diddy', 'Stevie J']",52,BAD BOY CELEBRATES DIDDY: The Executive,spotify:track:0A6QSdwR4ZtW2JbpziCcQi,0.754,0.523,8,-5.799,1,0.0434,0.00841,0.0,0.126,0.786,95.777,audio_features,0A6QSdwR4ZtW2JbpziCcQi,https://api.spotify.com/v1/tracks/0A6QSdwR4ZtW2JbpziCcQi,https://api.spotify.com/v1/audio-analysis/0A6QSdwR4ZtW2JbpziCcQi,285453,4,2022,0
6XrcCOVQGOG15SDaVQ7ojL,La Guitarra - Remastered 2001,['Los Auténticos Decadentes'],33,Originales - 20 Exitos,spotify:track:6XrcCOVQGOG15SDaVQ7ojL,0.692,0.846,4,-5.962,1,0.0303,0.322,0.0,0.12,0.888,146.834,audio_features,6XrcCOVQGOG15SDaVQ7ojL,https://api.spotify.com/v1/tracks/6XrcCOVQGOG15SDaVQ7ojL,https://api.spotify.com/v1/audio-analysis/6XrcCOVQGOG15SDaVQ7ojL,218267,4,1993,0
