track_id,track_name,artist_name,popularity,album,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,track_href,analysis_url,duration_ms,time_signature,release_date,in_playlist
5GvueiOy3uZz3dMeWVOAbM,What Is Love - Reloaded - Radio Edit,"['Haddaway', 'Guido Gronwald']",60,What Is Love (>Reloaded<),spotify:track:5GvueiOy3uZz3dMeWVOAbM,0.617,0.86,7,-5.385,0,0.034,0.00227,0.00457,0.141,0.713,137.983,audio_features,5GvueiOy3uZz3dMeWVOAbM,https://api.spotify.com/v1/tracks/5GvueiOy3uZz3dMeWVOAbM,https://api.spotify.com/v1/audio-analysis/5GvueiOy3uZz3dMeWVOAbM,176027,4,2003,0
5q8UoqDHPe9bU4R5bbvcJF,"I Love You, I Honestly Love You",['Olivia Newton-John'],46,"If You Love Me, Let Me Know",spotify:track:5q8UoqDHPe9bU4R5bbvcJF,0.355,0.112,10,-15.309,1,0.0362,0.959,0.000104,0.0674,0.153,134.893,audio_features,5q8UoqDHPe9bU4R5bbvcJF,https://api.spotify.com/v1/tracks/5q8UoqDHPe9bU4R5bbvcJF,https://api.spotify.com/v1/audio-analysis/5q8UoqDHPe9bU4R5bbvcJF,220333,4,1974,0
19vUJwIaPAgDJyGZMBI9MG,Porcelain,['Moby'],54,Play: The Complete Recordings,,0.297,0.634,0,-7.927,0,0.0335,0.00141,0.175,0.247,0.331,94.733,audio_features,,,,241173,4,1999,1
3zT2616WcD9Df5m21OsCX0,Rise Up,['Imagine Dragons'],63,Evolve,,0.447,0.74,3,-6.606,1,0.0475,0.0122,0.000242,0.0958,0.103,93.763,audio_features,,,,231720,4,2017,1
43hvtsou0WXnUIZo8dBjJ3,Cosas Mías - Remastered 1995,['Los Abuelos De La Nada'],46,Los Abuelos De La Nada 2,spotify:track:43hvtsou0WXnUIZo8dBjJ3,0.732,0.882,11,-6.485,0,0.0494,0.0301,1.95e-06,0.0295,0.841,103.744,audio_features,43hvtsou0WXnUIZo8dBjJ3,https://api.spotify.com/v1/tracks/43hvtsou0WXnUIZo8dBjJ3,https://api.spotify.com/v1/audio-analysis/43hvtsou0WXnUIZo8dBjJ3,220333,4,1995,0
6y6zXps3xIZ7Fw8ykuwWPY,Mehabooba,['Ananya Bhat'],49,Kgf Chapter 2,spotify:track:6y6zXps3xIZ7Fw8ykuwWPY,0.508,0.492,6,-11.579,0,0.049,0.864,0.116,0.347,0.28,79.967,audio_features,6y6zXps3xIZ7Fw8ykuwWPY,https://api.spotify.com/v1/tracks/6y6zXps3xIZ7Fw8ykuwWPY,https://api.spotify.com/v1/audio-analysis/6y6zXps3xIZ7Fw8ykuwWPY,212352,4,2022,0
5Ohxk2dO5COHF1krpoPigN,Sign of the Times,['Harry Styles'],81,Harry Styles,,0.516,0.595,5,-4.63,1,0.0313,0.0275,0.0,0.109,0.222,119.972,audio_features,,,,340706,4,2017,1
13lUUFsU6GMvRDN432qKxX,Male Fantasy,['Billie Eilish'],59,Happier Than Ever,,0.692,0.286,2,-10.398,1,0.0426,0.863,0.0,0.0934,0.305,111.025,audio_features,,,,194886,4,2021,1
2SqEopjZJjyAAp2nFkJi7i,Nice to See You,"['Vansire', 'FLOOR CRY']",52,Angel Youth,spotify:track:2SqEopjZJjyAAp2nFkJi7i,0.541,0.535,1,-9.742,1,0.0321,0.42,0.632,0.261,0.351,78.893,audio_features,2SqEopjZJjyAAp2nFkJi7i,https://api.spotify.com/v1/tracks/2SqEopjZJjyAAp2nFkJi7i,https://api.spotify.com/v1/audio-analysis/2SqEopjZJjyAAp2nFkJi7i,181678,4,2018,0
0hquQWY3xvYqN4qtiquniF,Vegas (From the Original Motion Picture Soundtrack ELVIS),['Doja Cat'],72,Vegas (From the Original Motion Picture Soundtrack ELVIS),,0.801,0.601,8,-7.574,0,0.255,0.0777,3.23e-05,0.145,0.74,159.969,audio_features,,,,182906,4,2022,1
