track_id,track_name,artist_name,popularity,album,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,track_href,analysis_url,duration_ms,time_signature,release_date,in_playlist
2tPNj9sUt3FbjEUqBzZazv,530,"['¥$', 'Kanye West', 'Ty Dolla $ign']",67,VULTURES 2,spotify:track:2tPNj9sUt3FbjEUqBzZazv,0.641,0.564,11,-5.543,0,0.0926,0.176,0.0,0.367,0.295,80.149,audio_features,2tPNj9sUt3FbjEUqBzZazv,https://api.spotify.com/v1/tracks/2tPNj9sUt3FbjEUqBzZazv,https://api.spotify.com/v1/audio-analysis/2tPNj9sUt3FbjEUqBzZazv,289505,4,2024,0
0tMMPZEt6Gyrl9FI8zSicm,Glue Song (feat. Clairo),"['beabadoobee', 'Clairo']",73,Glue Song (feat. Clairo),,0.621,0.393,1,-9.553,1,0.0275,0.778,0.00703,0.104,0.53,113.925,audio_features,,,,135066,3,2023,1
6FeTled691bl3j2Npf7oo8,Azukita,"['Steve Aoki', 'Daddy Yankee', 'Play-N-Skillz', 'Elvis Crespo']",54,Neon Future III,spotify:track:6FeTled691bl3j2Npf7oo8,0.715,0.942,8,-2.889,1,0.107,0.00175,0.000461,0.0581,0.818,130.019,audio_features,6FeTled691bl3j2Npf7oo8,https://api.spotify.com/v1/tracks/6FeTled691bl3j2Npf7oo8,https://api.spotify.com/v1/audio-analysis/6FeTled691bl3j2Npf7oo8,226162,4,2018,0
4sebUbjqbcgDSwG6PbSGI0,Come a Little Closer,['Cage The Elephant'],71,Melophobia,,0.44,0.778,1,-1.786,0,0.0327,0.0265,1.04e-06,0.151,0.304,148.038,audio_features,,,,229346,4,2013,1
5uZm7EFtP5aoTJvx5gv9Xf,Jungle,['A Boogie Wit da Hoodie'],69,Artist,spotify:track:5uZm7EFtP5aoTJvx5gv9Xf,0.538,0.52,7,-11.063,0,0.737,0.308,0.0,0.214,0.551,180.274,audio_features,5uZm7EFtP5aoTJvx5gv9Xf,https://api.spotify.com/v1/tracks/5uZm7EFtP5aoTJvx5gv9Xf,https://api.spotify.com/v1/audio-analysis/5uZm7EFtP5aoTJvx5gv9Xf,174192,4,2016,0
7pNzulQGBP6v2g4A2KnAJ6,PRINCESITA DE ...,"['Jere Klein', 'Nickoog Clk', 'Lucky Brown', 'El BAI']",69,ÉNFASIS,spotify:track:7pNzulQGBP6v2g4A2KnAJ6,0.875,0.631,9,-4.635,0,0.152,0.0263,2.26e-06,0.0566,0.79,97.983,audio_features,7pNzulQGBP6v2g4A2KnAJ6,https://api.spotify.com/v1/tracks/7pNzulQGBP6v2g4A2KnAJ6,https://api.spotify.com/v1/audio-analysis/7pNzulQGBP6v2g4A2KnAJ6,162398,4,2023,0
0mivIbo4LkpblsGoRzEJNa,Gimme! Gimme! Gimme!,['GAMPER & DADONI'],62,Gimme! Gimme! Gimme!,spotify:track:0mivIbo4LkpblsGoRzEJNa,0.621,0.748,2,-5.36,0,0.058,0.0151,0.016,0.0729,0.417,125.996,audio_features,0mivIbo4LkpblsGoRzEJNa,https://api.spotify.com/v1/tracks/0mivIbo4LkpblsGoRzEJNa,https://api.spotify.com/v1/audio-analysis/0mivIbo4LkpblsGoRzEJNa,187069,4,2019,0
6pWzCKTrKrwbUPzY8RLCoP,Rock Wit U (Awww Baby),['Ashanti'],67,Chapter II,spotify:track:6pWzCKTrKrwbUPzY8RLCoP,0.71,0.797,4,-3.006,0,0.0583,0.409,0.0,0.16,0.849,94.998,audio_features,6pWzCKTrKrwbUPzY8RLCoP,https://api.spotify.com/v1/tracks/6pWzCKTrKrwbUPzY8RLCoP,https://api.spotify.com/v1/audio-analysis/6pWzCKTrKrwbUPzY8RLCoP,209120,4,2003,0
2LZ2CNbcbJrwh53pitRgom,Silver Soul,['Beach House'],67,Teen Dream,,0.356,0.67,2,-5.825,1,0.0324,0.467,0.000106,0.288,0.117,135.032,audio_features,,,,298680,4,2010,1
5PbdVk09VHHcvGa0pX86RP,Flowers In Your Hair,['The Lumineers'],73,The Lumineers,,0.67,0.609,7,-10.088,1,0.0333,0.75,6.74e-05,0.227,0.573,127.463,audio_features,,,,109735,4,2012,1
5XYXgYQJvY87aCFxK5sOnp,Go Bang,"['PNAU', 'Kira Divine']",50,Changa,spotify:track:5XYXgYQJvY87aCFxK5sOnp,0.598,0.893,2,-3.072,1,0.0319,0.0714,0.0159,0.146,0.485,120.974,audio_features,5XYXgYQJvY87aCFxK5sOnp,https://api.spotify.com/v1/tracks/5XYXgYQJvY87aCFxK5sOnp,https://api.spotify.com/v1/audio-analysis/5XYXgYQJvY87aCFxK5sOnp,189093,4,2017,0
3UEyIvpZcGvqEqIZdw6Sey,SMOKE IT OFF! - Mega Mix,"['Lumi Athena', 'cade clair', 'jnhygs']",54,SMOKE IT OFF!,spotify:track:3UEyIvpZcGvqEqIZdw6Sey,0.374,0.933,1,-3.229,1,0.193,0.0133,1.36e-05,0.356,0.36,148.157,audio_features,3UEyIvpZcGvqEqIZdw6Sey,https://api.spotify.com/v1/tracks/3UEyIvpZcGvqEqIZdw6Sey,https://api.spotify.com/v1/audio-analysis/3UEyIvpZcGvqEqIZdw6Sey,122327,4,2023,0
6J2rMSRhgb4HuX6dWgM3nJ,I Melt with You,['Modern English'],56,After the Snow,,0.541,0.81,0,-11.745,1,0.0367,0.000975,0.00158,0.0681,0.647,155.582,audio_features,,,,251573,4,1982,1
53MLlxLRavqZnoOfzzaVI0,Neglect,['Mr.Kitty'],53,Time,spotify:track:53MLlxLRavqZnoOfzzaVI0,0.604,0.861,7,-8.463,0,0.0283,0.00189,0.626,0.0734,0.638,130.029,audio_features,53MLlxLRavqZnoOfzzaVI0,https://api.spotify.com/v1/tracks/53MLlxLRavqZnoOfzzaVI0,https://api.spotify.com/v1/audio-analysis/53MLlxLRavqZnoOfzzaVI0,216147,4,2014,0
1dxwFJQWLp3AxcHNWfS6JE,Bridges,"['Ezhel', 'Aitch']",52,Bridges,spotify:track:1dxwFJQWLp3AxcHNWfS6JE,0.826,0.587,0,-7.94,0,0.259,0.273,2.37e-05,0.076,0.546,145.946,audio_features,1dxwFJQWLp3AxcHNWfS6JE,https://api.spotify.com/v1/tracks/1dxwFJQWLp3AxcHNWfS6JE,https://api.spotify.com/v1/audio-analysis/1dxwFJQWLp3AxcHNWfS6JE,158208,4,2024,0
