track_id,track_name,artist_name,popularity,album,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,track_href,analysis_url,duration_ms,time_signature,release_date,in_playlist
7nQoDLkzCcoIpKPQt3eCdN,Kau Rumahku,['raissa anggiani'],72,Kau Rumahku,spotify:track:7nQoDLkzCcoIpKPQt3eCdN,0.35,0.323,1,-8.982,1,0.0369,0.873,1.48e-06,0.103,0.278,169.513,audio_features,7nQoDLkzCcoIpKPQt3eCdN,https://api.spotify.com/v1/tracks/7nQoDLkzCcoIpKPQt3eCdN,https://api.spotify.com/v1/audio-analysis/7nQoDLkzCcoIpKPQt3eCdN,275250,3,2022,1
52PgJoRz30sRQGOGqXYKdX,Zealots,"['Fugees', 'Ms. Lauryn Hill', 'Wyclef Jean', 'Pras']",54,The Score (Expanded Edition),spotify:track:52PgJoRz30sRQGOGqXYKdX,0.53,0.45,5,-14.975,1,0.489,0.196,2.62e-06,0.147,0.339,77.887,audio_features,52PgJoRz30sRQGOGqXYKdX,https://api.spotify.com/v1/tracks/52PgJoRz30sRQGOGqXYKdX,https://api.spotify.com/v1/audio-analysis/52PgJoRz30sRQGOGqXYKdX,260547,4,1996,0
1RMJOxR6GRPsBHL8qeC2ux,Best Part (feat. H.E.R.),"['Daniel Caesar', 'H.E.R.']",84,Freudian,spotify:track:1RMJOxR6GRPsBHL8qeC2ux,0.524,0.364,7,-10.209,1,0.0367,0.808,0.0,0.1,0.436,75.24,audio_features,1RMJOxR6GRPsBHL8qeC2ux,https://api.spotify.com/v1/tracks/1RMJOxR6GRPsBHL8qeC2ux,https://api.spotify.com/v1/audio-analysis/1RMJOxR6GRPsBHL8qeC2ux,209831,4,2017,1
0pO9wem4wi61QD2PWFpIJQ,How Deep Is Your Love,['Take That'],56,Never Forget: The Ultimate Collection,spotify:track:0pO9wem4wi61QD2PWFpIJQ,0.785,0.451,4,-11.731,1,0.0258,0.698,0.000521,0.176,0.414,99.995,audio_features,0pO9wem4wi61QD2PWFpIJQ,https://api.spotify.com/v1/tracks/0pO9wem4wi61QD2PWFpIJQ,https://api.spotify.com/v1/audio-analysis/0pO9wem4wi61QD2PWFpIJQ,220813,4,2005,0
1mlGScrDQqHqmhdIqE8MmA,Besos En Guerra,"['Morat', 'Juanes']",75,Balas Perdidas,spotify:track:1mlGScrDQqHqmhdIqE8MmA,0.691,0.973,2,-3.586,1,0.048,0.126,0.0,0.101,0.783,143.961,audio_features,1mlGScrDQqHqmhdIqE8MmA,https://api.spotify.com/v1/tracks/1mlGScrDQqHqmhdIqE8MmA,https://api.spotify.com/v1/audio-analysis/1mlGScrDQqHqmhdIqE8MmA,231533,4,2018,1
6b6uLZsoGhObYexIxnRbIb,Hangar 18 - 2004 Remix,['Megadeth'],58,Rust In Peace (2004 Remix / Expanded Edition),spotify:track:6b6uLZsoGhObYexIxnRbIb,0.248,0.988,2,-3.74,1,0.144,5.87e-05,0.84,0.323,0.149,115.301,audio_features,6b6uLZsoGhObYexIxnRbIb,https://api.spotify.com/v1/tracks/6b6uLZsoGhObYexIxnRbIb,https://api.spotify.com/v1/audio-analysis/6b6uLZsoGhObYexIxnRbIb,311200,4,1990,1
1cktZnxiONH0hR6Q3DKy8h,Drink In My Hand,['Eric Church'],71,Chief,spotify:track:1cktZnxiONH0hR6Q3DKy8h,0.626,0.913,0,-4.452,1,0.0317,0.00635,0.0,0.293,0.946,113.045,audio_features,1cktZnxiONH0hR6Q3DKy8h,https://api.spotify.com/v1/tracks/1cktZnxiONH0hR6Q3DKy8h,https://api.spotify.com/v1/audio-analysis/1cktZnxiONH0hR6Q3DKy8h,191307,4,2011,0
6c0GmyBsE7mQtrVvxJaWc3,Throw It In The Bag,"['Fabolous', 'The-Dream']",56,Loso's Way,spotify:track:6c0GmyBsE7mQtrVvxJaWc3,0.789,0.551,11,-7.423,0,0.0464,0.174,0.0,0.0613,0.699,172.04,audio_features,6c0GmyBsE7mQtrVvxJaWc3,https://api.spotify.com/v1/tracks/6c0GmyBsE7mQtrVvxJaWc3,https://api.spotify.com/v1/audio-analysis/6c0GmyBsE7mQtrVvxJaWc3,231573,4,2009,1
7tCxRQhDcXehM90nj4Nsit,"Setengah Mati - From ""Bila Esok Ibu Tiada""",['Ghea Indrawari'],52,"Setengah Mati (From ""Bila Esok Ibu Tiada"")",spotify:track:7tCxRQhDcXehM90nj4Nsit,0.331,0.383,2,-8.248,1,0.0327,0.858,3.22e-06,0.224,0.477,78.691,audio_features,7tCxRQhDcXehM90nj4Nsit,https://api.spotify.com/v1/tracks/7tCxRQhDcXehM90nj4Nsit,https://api.spotify.com/v1/audio-analysis/7tCxRQhDcXehM90nj4Nsit,239992,4,2024,1
45HL7sdHQP34lKIynwuU0x,She Lit a Fire,['Lord Huron'],58,Lonesome Dreams (Bonus Track Version),spotify:track:45HL7sdHQP34lKIynwuU0x,0.484,0.737,0,-6.672,1,0.0289,0.273,0.000453,0.1,0.408,84.945,audio_features,45HL7sdHQP34lKIynwuU0x,https://api.spotify.com/v1/tracks/45HL7sdHQP34lKIynwuU0x,https://api.spotify.com/v1/audio-analysis/45HL7sdHQP34lKIynwuU0x,270667,4,2012,0
4ylbpmTRMsG2OST1MqAZ9S,La Mujer Que Soñe,['Los Temerarios'],70,Tu Última Canción,spotify:track:4ylbpmTRMsG2OST1MqAZ9S,0.549,0.46,1,-11.343,1,0.0291,0.337,2.55e-06,0.11,0.352,144.656,audio_features,4ylbpmTRMsG2OST1MqAZ9S,https://api.spotify.com/v1/tracks/4ylbpmTRMsG2OST1MqAZ9S,https://api.spotify.com/v1/audio-analysis/4ylbpmTRMsG2OST1MqAZ9S,184667,4,1996,1
2qbkYhZy5gNl8HrK2XwddI,"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]","['Tion Wayne', 'Russ Millions', 'ArrDee', 'E1 (3x3)', 'ZT (3x3)', 'Bugzy Malone', 'Buni', 'Fivio Foreign', 'Darkoo']",59,Green With Envy,spotify:track:2qbkYhZy5gNl8HrK2XwddI,0.883,0.674,11,-8.043,0,0.357,0.21,0.0,0.0678,0.73,141.02,audio_features,2qbkYhZy5gNl8HrK2XwddI,https://api.spotify.com/v1/tracks/2qbkYhZy5gNl8HrK2XwddI,https://api.spotify.com/v1/audio-analysis/2qbkYhZy5gNl8HrK2XwddI,278085,4,2021,0
10qd1qV1V08UqwYvTKyUQm,Nee Tholaindhaayo,"['Leon James', 'Sid Sriram']",50,Kavalai Vendam (Original Motion Picture Soundtrack),spotify:track:10qd1qV1V08UqwYvTKyUQm,0.559,0.577,5,-6.975,1,0.0336,0.602,2.24e-05,0.108,0.176,135.087,audio_features,10qd1qV1V08UqwYvTKyUQm,https://api.spotify.com/v1/tracks/10qd1qV1V08UqwYvTKyUQm,https://api.spotify.com/v1/audio-analysis/10qd1qV1V08UqwYvTKyUQm,222873,4,2016,0
4G8gkOterJn0Ywt6uhqbhp,Radioactive,['Imagine Dragons'],71,Night Visions,spotify:track:4G8gkOterJn0Ywt6uhqbhp,0.448,0.784,9,-3.686,1,0.0625,0.0999,0.000108,0.668,0.237,136.239,audio_features,4G8gkOterJn0Ywt6uhqbhp,https://api.spotify.com/v1/tracks/4G8gkOterJn0Ywt6uhqbhp,https://api.spotify.com/v1/audio-analysis/4G8gkOterJn0Ywt6uhqbhp,186813,4,2012,0
5klXT8EMMeQtlOkhpcXJmn,Shiv Tandav Stotram,['Shankar Mahadevan'],41,Shiv Tandav Stotram - Single,spotify:track:5klXT8EMMeQtlOkhpcXJmn,0.52,0.831,2,-5.136,1,0.0433,0.436,0.0,0.194,0.429,149.909,audio_features,5klXT8EMMeQtlOkhpcXJmn,https://api.spotify.com/v1/tracks/5klXT8EMMeQtlOkhpcXJmn,https://api.spotify.com/v1/audio-analysis/5klXT8EMMeQtlOkhpcXJmn,553228,4,2016,1
