track_id,track_name,artist_name,popularity,album,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,track_href,analysis_url,duration_ms,time_signature,release_date,in_playlist
2QAwkI8L0UVBpjHJ6PwBzn,Passion Whine,"['Farruko', 'Sean Paul']",69,Farruko Presents Los Menores,spotify:track:2QAwkI8L0UVBpjHJ6PwBzn,0.756,0.689,10,-3.87,0,0.0648,0.327,0.0,0.0586,0.782,162.006,audio_features,2QAwkI8L0UVBpjHJ6PwBzn,https://api.spotify.com/v1/tracks/2QAwkI8L0UVBpjHJ6PwBzn,https://api.spotify.com/v1/audio-analysis/2QAwkI8L0UVBpjHJ6PwBzn,213312,4,2016,0
1vj47xD8v9wIhQrmQY2Dkv,Better Days (feat. John Mayer),"['Zach Bryan', 'John Mayer']",74,The Great American Bar Scene,spotify:track:1vj47xD8v9wIhQrmQY2Dkv,0.562,0.564,9,-6.946,1,0.0361,0.705,0.0,0.0932,0.314,82.685,audio_features,1vj47xD8v9wIhQrmQY2Dkv,https://api.spotify.com/v1/tracks/1vj47xD8v9wIhQrmQY2Dkv,https://api.spotify.com/v1/audio-analysis/1vj47xD8v9wIhQrmQY2Dkv,212467,4,2024,0
6yTTAymwOHH20GKiXVrVIx,Feel Like Shit - Techno Version,['Fresh Prince of Sped Air'],44,Feel Like Shit (Techno Version),,0.628,0.856,7,-4.659,1,0.0644,0.056,0.00051,0.101,0.331,144.834,audio_features,,,,148793,4,2024,1
4orbHIBXold2i2psR5e3qY,"Healing Incantation - From ""Tangled""/Soundtrack Version",['Mandy Moore'],48,Disney Halloween,spotify:track:4orbHIBXold2i2psR5e3qY,0.411,0.0291,6,-22.619,1,0.0381,0.903,0.0,0.115,0.323,81.171,audio_features,4orbHIBXold2i2psR5e3qY,https://api.spotify.com/v1/tracks/4orbHIBXold2i2psR5e3qY,https://api.spotify.com/v1/audio-analysis/4orbHIBXold2i2psR5e3qY,54440,3,2024,0
5upoXNxaUFybIF8XfRAaDp,Healing (Shattered Heart),"['Kygo', 'Jonas Brothers']",60,KYGO,spotify:track:5upoXNxaUFybIF8XfRAaDp,0.666,0.69,11,-6.134,0,0.0583,0.0853,8.58e-06,0.0775,0.273,102.964,audio_features,5upoXNxaUFybIF8XfRAaDp,https://api.spotify.com/v1/tracks/5upoXNxaUFybIF8XfRAaDp,https://api.spotify.com/v1/audio-analysis/5upoXNxaUFybIF8XfRAaDp,162051,4,2024,0
78a73LTQzKUACO1qNemya5,We Don't Talk Anymore,['Eugone'],47,We Don't Talk Anymore,,0.761,0.708,1,-6.417,0,0.0699,0.00322,0.00368,0.203,0.374,124.073,audio_features,,,,156592,4,2024,1
1WCEAGGRD066z2Q89ObXTq,Crazy What Love Can Do,"['David Guetta', 'Becky Hill', 'Ella Henderson']",74,Crazy What Love Can Do,,0.601,0.713,4,-3.758,0,0.0449,0.0282,0.0,0.158,0.464,122.872,audio_features,,,,169756,4,2022,1
4mbkn36HpcI0yk1LaWHbjC,Something Just Like This,['Eugone'],45,Something Just Like This,,0.785,0.795,11,-7.813,0,0.0571,0.0116,0.000434,0.115,0.786,126.022,audio_features,,,,161894,4,2023,1
7rbECVPkY5UODxoOUVKZnA,I Wonder,['Kanye West'],81,Graduation,spotify:track:7rbECVPkY5UODxoOUVKZnA,0.542,0.466,0,-8.668,1,0.0824,0.141,0.000444,0.125,0.127,191.386,audio_features,7rbECVPkY5UODxoOUVKZnA,https://api.spotify.com/v1/tracks/7rbECVPkY5UODxoOUVKZnA,https://api.spotify.com/v1/audio-analysis/7rbECVPkY5UODxoOUVKZnA,243440,4,2007,0
1dt220OBbkTsYz1NLVKIaw,Call Me (with R3HAB & Timmy Trumpet),"['Gabry Ponte', 'R3HAB', 'Timmy Trumpet']",63,Call Me (with R3HAB & Timmy Trumpet),,0.398,0.956,2,-4.429,1,0.329,0.00935,0.0038,0.142,0.269,106.581,audio_features,,,,178309,4,2022,1
